radius_arcsec,inclination_deg,e_inclination_deg,pa_deg,e_pa_deg,n_w,e_n_w,n_n,e_n_n,n_los,e_n_los,tip_deg,e_tip_deg,lon_deg,e_lon_deg
0,83.3,10.0,283.2,15.0,-0.967,0.063,-0.227,0.253,0.117,0.173,27.2,13.1,-125,28
12,83.3,10.0,283.2,15.0,-0.967,0.063,-0.227,0.253,0.117,0.173,27.2,13.1,-125,28
24,77.8,10.0,271.7,15.0,-0.977,0.038,-0.029,0.256,0.211,0.171,15.3,12.2,-137,50
36,65.6,10.0,263.1,15.0,-0.904,0.077,0.109,0.237,0.414,0.159,1.9,13.2,-67,180
48,66.3,10.0,261.2,15.0,-0.905,0.078,0.141,0.237,0.402,0.160,0.0,0.0,-125,180
60,67.0,5.3,259.2,7.9,-0.905,0.043,0.172,0.126,0.390,0.086,1.9,7.2,112,170
72,66.8,4.0,259.4,6.0,-0.904,0.032,0.169,0.095,0.393,0.064,1.7,5.5,107,140
84,66.6,4.0,259.5,4.0,-0.903,0.030,0.167,0.064,0.397,0.064,1.5,3.8,101,149
96,66.0,4.0,259.8,4.0,-0.899,0.030,0.163,0.063,0.407,0.064,1.3,3.7,77,172
108,65.0,4.0,260.1,4.0,-0.893,0.031,0.156,0.063,0.423,0.063,1.7,3.9,37,130
120,64.0,5.2,260.4,4.0,-0.886,0.041,0.150,0.062,0.439,0.081,2.5,5.1,17,88
132,63.9,5.0,260.0,4.0,-0.884,0.040,0.156,0.062,0.440,0.079,2.6,4.9,23,85
144,63.9,4.9,259.7,5.5,-0.883,0.040,0.161,0.084,0.440,0.077,2.8,5.0,29,101
156,64.0,4.0,259.1,4.6,-0.882,0.033,0.170,0.071,0.438,0.063,3.0,4.1,39,78
168,64.3,4.0,258.2,4.0,-0.882,0.032,0.184,0.062,0.434,0.063,3.3,3.8,52,67
180,64.6,4.0,257.4,4.0,-0.882,0.032,0.197,0.062,0.429,0.063,3.8,3.7,63,60
192,63.9,4.0,257.1,4.0,-0.875,0.033,0.201,0.061,0.440,0.063,4.5,3.8,56,51
210,62.8,4.6,256.5,4.0,-0.865,0.039,0.207,0.061,0.457,0.072,5.5,4.1,49,45
240,58.4,4.0,261.5,4.0,-0.843,0.037,0.126,0.059,0.524,0.059,7.9,4.0,-2,25
270,58.1,4.0,271.6,4.0,-0.849,0.037,-0.024,0.059,0.528,0.059,12.3,3.7,-46,18
300,56.0,4.0,271.9,4.0,-0.828,0.039,-0.028,0.058,0.560,0.058,14.0,3.7,-40,16
330,58.4,5.0,277.2,5.7,-0.845,0.047,-0.107,0.085,0.524,0.074,16.2,4.9,-57,18
360,58.4,4.0,274.9,5.3,-0.849,0.037,-0.073,0.079,0.524,0.059,14.5,4.5,-54,17
390,62.8,6.3,280.4,10.0,-0.875,0.057,-0.161,0.153,0.456,0.097,17.7,8.9,-75,21
420,59.8,5.9,275.0,10.0,-0.861,0.053,-0.075,0.150,0.503,0.088,13.9,8.3,-59,27
450,62.6,15.0,282.9,5.3,-0.865,0.119,-0.198,0.084,0.461,0.232,19.9,4.9,-75,44
520,65.1,7.5,277.8,5.5,-0.899,0.056,-0.124,0.087,0.421,0.118,15.2,5.1,-82,29
590,68.4,6.3,287.6,6.6,-0.886,0.050,-0.281,0.102,0.368,0.103,24.5,6.2,-90,16
660,58.6,9.7,277.9,6.0,-0.845,0.088,-0.117,0.090,0.521,0.144,16.7,6.1,-59,32
