parent_family,subfamily,readout_interpretation,required_residual_blind_observables,candidate_formula_layer,current_status,endpoint_scores_allowed,claim_boundary,primary_lane,secondary_lane,selection_rule,lane_mapping_status
K_thick_flared,K_thick_regular,smooth vertically extended disk without strong warp/history coupling,vertical scale height or edge-on thickness; low warp/asymmetry evidence; projection-safe inclination,thick/flared damped vertical kernel,candidate_subfamily_pending_source_rule,False,readout_lane_taxonomy_update_not_endpoint,L_clean_carrier,L_projection_attenuation,regular vertical thickness is carrier-like unless edge-on/projection caveat dominates,MAPPED
K_thick_flared,K_flared_outer_disk,outer disk flaring modulates vertical readout in the outskirts,outer thickness/flare gradient; HI extent; projection caveat audit,radially varying thick/flared kernel,candidate_subfamily_pending_source_rule,False,readout_lane_taxonomy_update_not_endpoint,L_mixed_overlay,L_projection_attenuation,outer flare modifies carrier; projection lane if geometry dominates source fields,MAPPED
K_thick_flared,K_warp_history_coupled,warp/history/background morphology layer cross-couples into the 4D readout,warp onset; warp asymmetry; HI disturbance; interaction/memory evidence; epsilon_cross source bound,warp p1/p2 branch plus bounded epsilon_cross modulation,motivated_by_NGC4088_targeted_diagnostic_not_accepted_endpoint,False,readout_lane_taxonomy_update_not_endpoint,L_added_source,L_mixed_overlay,use added lane only when source fields imply a real source-load/history term; otherwise treat as mixed/blocked,MAPPED
K_thick_flared,K_projection_dominated,apparent thickness/flare is dominated by viewing/projection uncertainty,edge-on geometry; inclination uncertainty; dust lane/projection flags; velocity-field sanity check,projection-corrected or endpoint-blocked thick/flared shell,control_or_blocker_subfamily,False,readout_lane_taxonomy_update_not_endpoint,L_projection_attenuation,L_mixed_overlay,"projection evidence selects bounded attenuation, not added source ramp",MAPPED
K_scale_tail_spiral,K_smooth_n2_tail,smooth source-tail branch with n=2 TGP-like asymptotic form,HI radius; outer-disk/tail transition; stable tail support,n=2 scale-tail readout,candidate_subfamily_pending_source_rule,False,readout_lane_taxonomy_update_not_endpoint,L_added_source,L_clean_carrier,tail/source support may add a TGP-like term if source window and amplitude are frozen,MAPPED
K_scale_tail_spiral,K_disturbed_outer_tail,asymmetric or environmentally disturbed outer tail,HI asymmetry; outer lopsidedness; environment/interaction evidence,tail plus memory/asymmetry modulation,candidate_subfamily_pending_source_rule,False,readout_lane_taxonomy_update_not_endpoint,L_added_source,L_mixed_overlay,disturbed tails require asymmetry/history source evidence and bounded support,MAPPED
K_exponential_disk,K_clean_expdisk,present-day exponential disk is a close proxy for readout-relevant morphology,S4G/SPARC scale radius; no strong bar/ring/projection caveat; stable disk component,Freeman/Bessel exponential-disk shell,candidate_subfamily_pending_source_rule,False,readout_lane_taxonomy_update_not_endpoint,L_clean_carrier,L_mixed_overlay,clean carrier unless source-blind overlay/projection/history evidence is present,MAPPED
K_exponential_disk,K_expdisk_overlay,"exponential disk with bar, compact core, projection, or memory/history overlay",bar/core/projection/history flags; overlay source support,exponential shell plus overlay component,candidate_subfamily_pending_source_rule,False,readout_lane_taxonomy_update_not_endpoint,L_mixed_overlay,L_clean_carrier,smooth disk carrier plus overlay evidence; reject if overlay has no source field,MAPPED
K_compact_finite,K_true_compact,compact finite source dominates the readout support,bulge/core support; compact scale; limited extended disk influence,compact finite-source exterior response,candidate_subfamily_pending_source_rule,False,readout_lane_taxonomy_update_not_endpoint,L_clean_carrier,L_mixed_overlay,compact lane only with source-supported compact support; otherwise compact+disk overlay,MAPPED
K_compact_finite,K_compact_plus_disk,compact core exists but extended disk/tail still controls part of readout,bulge-to-disk decomposition; disk scale; compact support radius,compact shell plus disk/tail overlay,candidate_subfamily_pending_source_rule,False,readout_lane_taxonomy_update_not_endpoint,L_mixed_overlay,L_clean_carrier,compact and disk supports both active; freeze decomposition before scoring,MAPPED
