galaxy,repair_priority,scale_radius_status,tail_inner_radius_kpc,tail_cutoff_radius_kpc,tail_observable_status,compact_support_radius_kpc,compact_observable_status,thickness_h_over_rs,thickness_observable_status,kernel_observable_provenance,split,formula_family,old_rmse_matched_family,rmse_tpg_v6,rmse_mond,filled_rmse_matched_family,filled_minus_old_matched_rmse,filled_minus_old_matched_minus_wrong,filled_minus_old_matched_minus_tpg,filled_minus_old_matched_minus_mond,filled_improves_matched_rmse,filled_improves_vs_wrong,filled_improves_vs_tpg,filled_improves_vs_mond,manifest_caveat,s4g_support_status,audit_lane,endpoint_blocker,failure_mode,failure_reason,repair_status,projection_reason,observable_driver_type,driver_outcome,source_native_target,source_priority,claim_boundary
NGC4214,P1_INCLINATION_PROJECTION_REVIEW,SOURCE_DERIVED_S4G_SPARC_SCALE,1.2929018240849055,5.84,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,,NOT_APPLICABLE,,NOT_APPLICABLE,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;tail_cutoff_from_SPARC_RHI;tail_inner_from_predeclared_disk_to_HI_transition_rule,holdout,K_scale_tail_spiral,15.405984093871057,17.991047303306434,15.27888150484993,15.745318476187409,0.3393343823163519,1.135748462264235,0.3393343823163519,0.3393343823163519,False,False,False,False,low_inclination,S4G_EXPDISK_WITH_BAR_CAVEAT,PARTIAL_SCALE_READY_KERNEL_BLOCKED,external_family_label_audit_pending;tail_inner_radius_kpc;tail_cutoff_radius_kpc,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,matched family beats wrong-family mean and Tau L2 beats one baseline,NEEDS_INCLINATION_PROJECTION_REVIEW,low_inclination,tail_inner_cutoff_candidate,FILLED_WORSENED_BASELINE_TRANSFER,"direct outer-disk/HI transition observable: HI radial profile, break radius, truncation radius, or source-native tail cutoff",P0_DIRECT_SOURCE_NATIVE_REQUIRED,s4g75_filled_kernel_delta_driver_audit_not_endpoint
UGC06917,P2_SOURCE_NORMALIZATION_REVIEW,SOURCE_DERIVED_S4G_SPARC_SCALE,5.918405907482297,12.67,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,,NOT_APPLICABLE,,NOT_APPLICABLE,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;tail_cutoff_from_SPARC_RHI;tail_inner_from_predeclared_disk_to_HI_transition_rule,holdout,K_scale_tail_spiral,4.9226251653474105,6.430936477869006,4.61507933369384,5.808428592734452,0.8858034273870414,1.1154491012395784,0.8858034273870414,0.8858034273870414,False,False,False,False,none,S4G_EXPDISK_WITH_BAR_CAVEAT,PARTIAL_SCALE_READY_KERNEL_BLOCKED,external_family_label_audit_pending;tail_inner_radius_kpc;tail_cutoff_radius_kpc,SPECIFICITY_SURVIVES_NORMALIZATION_WEAK,"family specificity survives, but Tau L2 does not beat TPG/MOND",NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",tail_inner_cutoff_candidate,FILLED_WORSENED_BASELINE_TRANSFER,"direct outer-disk/HI transition observable: HI radial profile, break radius, truncation radius, or source-native tail cutoff",P0_DIRECT_SOURCE_NATIVE_REQUIRED,s4g75_filled_kernel_delta_driver_audit_not_endpoint
UGC06983,P2_SOURCE_NORMALIZATION_REVIEW,SOURCE_DERIVED_S4G_SPARC_SCALE,6.2779436353492475,16.07,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,,NOT_APPLICABLE,,NOT_APPLICABLE,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;tail_cutoff_from_SPARC_RHI;tail_inner_from_predeclared_disk_to_HI_transition_rule,holdout,K_scale_tail_spiral,9.70055392147702,11.036839059186455,9.148970751386091,10.378426291683292,0.6778723702062717,1.2616233057165172,0.6778723702062717,0.6778723702062717,False,False,False,False,none,S4G_EXPDISK_WITH_BAR_CAVEAT,PARTIAL_SCALE_READY_KERNEL_BLOCKED,external_family_label_audit_pending;tail_inner_radius_kpc;tail_cutoff_radius_kpc,SPECIFICITY_SURVIVES_NORMALIZATION_WEAK,"family specificity survives, but Tau L2 does not beat TPG/MOND",NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",tail_inner_cutoff_candidate,FILLED_WORSENED_BASELINE_TRANSFER,"direct outer-disk/HI transition observable: HI radial profile, break radius, truncation radius, or source-native tail cutoff",P0_DIRECT_SOURCE_NATIVE_REQUIRED,s4g75_filled_kernel_delta_driver_audit_not_endpoint
NGC0024,P1_VERTICAL_GEOMETRY_SOURCE,SOURCE_DERIVED_S4G_SPARC_SCALE,,,NOT_APPLICABLE,,NOT_APPLICABLE,0.1321870886331353,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;predeclared_h_over_rs_from_inclination_and_HI_extent_no_direct_vertical_scale,holdout,K_thick_flared,22.660175260822907,22.157814084096987,20.65262257294937,22.756570031197395,0.0963947703744878,0.0153740625081013,0.0963947703744878,0.0963947703744878,False,False,False,False,vertical_geometry_proxy_only,S4G_EXPDISK_WITH_BAR_CAVEAT,PARTIAL_SCALE_READY_KERNEL_BLOCKED,external_family_label_audit_pending;thickness_h_over_rs,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,"family specificity survives, but projection/scale repair is still needed",NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,thickness_h_over_rs_candidate,FILLED_WORSENED_BASELINE_TRANSFER,"direct vertical geometry observable: scale height, flare/warp profile, edge-on thickness, or gas-plane thickness",P0_DIRECT_SOURCE_NATIVE_REQUIRED,s4g75_filled_kernel_delta_driver_audit_not_endpoint
NGC2683,P1_VERTICAL_GEOMETRY_SOURCE,SOURCE_DERIVED_S4G_SPARC_SCALE,,,NOT_APPLICABLE,,NOT_APPLICABLE,0.2024081922882335,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;predeclared_h_over_rs_from_inclination_and_HI_extent_no_direct_vertical_scale,holdout,K_thick_flared,9.441655141326386,10.314830339812676,14.151015414510422,10.331859032359942,0.8902038910335559,0.483540652980615,0.8902038910335577,0.8902038910335559,False,False,False,False,vertical_geometry_proxy_only,S4G_EXPDISK_WITH_BAR_CAVEAT,PARTIAL_SCALE_READY_KERNEL_BLOCKED,external_family_label_audit_pending;thickness_h_over_rs,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,matched family beats wrong-family mean and Tau L2 beats one baseline,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,thickness_h_over_rs_candidate,FILLED_WORSENED_BASELINE_TRANSFER,"direct vertical geometry observable: scale height, flare/warp profile, edge-on thickness, or gas-plane thickness",P0_DIRECT_SOURCE_NATIVE_REQUIRED,s4g75_filled_kernel_delta_driver_audit_not_endpoint
NGC3726,P1_VERTICAL_GEOMETRY_SOURCE,SOURCE_DERIVED_S4G_SPARC_SCALE,,,NOT_APPLICABLE,,NOT_APPLICABLE,0.1308888760669076,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;predeclared_h_over_rs_from_inclination_and_HI_extent_no_direct_vertical_scale,holdout,K_thick_flared,22.32780920265615,23.631876746434497,26.325344741169783,22.79755522417089,0.4697460215147373,0.1130603341193108,0.4697460215147373,0.4697460215147373,False,False,False,False,vertical_geometry_proxy_only,S4G_EXPDISK_SUPPORT,PARTIAL_SCALE_READY_KERNEL_BLOCKED,external_family_label_audit_pending;thickness_h_over_rs,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,"family specificity survives, but projection/scale repair is still needed",NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,thickness_h_over_rs_candidate,FILLED_WORSENED_BASELINE_TRANSFER,"direct vertical geometry observable: scale height, flare/warp profile, edge-on thickness, or gas-plane thickness",P0_DIRECT_SOURCE_NATIVE_REQUIRED,s4g75_filled_kernel_delta_driver_audit_not_endpoint
NGC3949,P1_VERTICAL_GEOMETRY_SOURCE,SOURCE_DERIVED_S4G_SPARC_SCALE,,,NOT_APPLICABLE,,NOT_APPLICABLE,0.1747677909708408,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;predeclared_h_over_rs_from_inclination_and_HI_extent_no_direct_vertical_scale,holdout,K_thick_flared,8.55319084358932,8.950158230683527,11.297904622428334,8.678216127024218,0.1250252834348977,0.043151969541908,0.1250252834348977,0.1250252834348977,False,False,False,False,few_rotation_points;vertical_geometry_proxy_only,S4G_EXPDISK_SUPPORT,PARTIAL_SCALE_READY_KERNEL_BLOCKED,external_family_label_audit_pending;thickness_h_over_rs,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,"family specificity survives, but projection/scale repair is still needed",NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,thickness_h_over_rs_candidate,FILLED_WORSENED_BASELINE_TRANSFER,"direct vertical geometry observable: scale height, flare/warp profile, edge-on thickness, or gas-plane thickness",P0_DIRECT_SOURCE_NATIVE_REQUIRED,s4g75_filled_kernel_delta_driver_audit_not_endpoint
NGC4088,P1_VERTICAL_GEOMETRY_SOURCE,SOURCE_DERIVED_S4G_SPARC_SCALE,,,NOT_APPLICABLE,,NOT_APPLICABLE,0.178337295349406,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;predeclared_h_over_rs_from_inclination_and_HI_extent_no_direct_vertical_scale,holdout,K_thick_flared,37.811387707787695,38.98773649865968,42.18384581680386,38.455377936394925,0.6439902286072297,0.1836212673122688,0.6439902286072297,0.6439902286072297,False,False,False,False,vertical_geometry_proxy_only,S4G_EXPDISK_SUPPORT,PARTIAL_SCALE_READY_KERNEL_BLOCKED,external_family_label_audit_pending;thickness_h_over_rs,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,"family specificity survives, but projection/scale repair is still needed",NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,thickness_h_over_rs_candidate,FILLED_WORSENED_BASELINE_TRANSFER,"direct vertical geometry observable: scale height, flare/warp profile, edge-on thickness, or gas-plane thickness",P0_DIRECT_SOURCE_NATIVE_REQUIRED,s4g75_filled_kernel_delta_driver_audit_not_endpoint
NGC5907,P1_VERTICAL_GEOMETRY_SOURCE,SOURCE_DERIVED_S4G_SPARC_SCALE,,,NOT_APPLICABLE,,NOT_APPLICABLE,0.22,SOURCE_CONSTRAINED_EDGE_DISK_CANDIDATE,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;S4G_edge_disk_component_supports_thick_flared_candidate_h_over_rs,holdout,K_thick_flared,16.383392586061934,16.785509985459306,18.59536481497724,17.013339297221307,0.6299467111593735,0.4048158321861699,0.6299467111593735,0.6299467111593735,False,False,False,False,vertical_geometry_proxy_only,S4G_EDGEDISK_SUPPORT_CAVEATED,PARTIAL_SCALE_READY_KERNEL_BLOCKED,external_family_label_audit_pending;thickness_h_over_rs,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,matched family beats wrong-family mean and Tau L2 beats one baseline,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,thickness_h_over_rs_candidate,FILLED_WORSENED_BASELINE_TRANSFER,"direct vertical geometry observable: scale height, flare/warp profile, edge-on thickness, or gas-plane thickness",P0_DIRECT_SOURCE_NATIVE_REQUIRED,s4g75_filled_kernel_delta_driver_audit_not_endpoint
NGC5985,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,SOURCE_DERIVED_S4G_SPARC_SCALE,,,NOT_APPLICABLE,10.71,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,,NOT_APPLICABLE,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;SPARC_Reff_used_as_compact_support_candidate_no_S4G_bulge_radius,holdout,K_compact_finite,66.20241092491683,72.28739039126062,69.40357999391347,59.89670778290144,-6.305703142015389,-5.977012775404873,-6.305703142015389,-6.305703142015389,True,True,True,True,large_distance_error,S4G_EXPDISK_SUPPORT,PARTIAL_SCALE_READY_KERNEL_BLOCKED,external_family_label_audit_pending;compact_support_radius_kpc,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,matched family beats wrong-family mean and Tau L2 beats both baselines,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,large_distance_error,compact_support_candidate,FILLED_IMPROVED_MATCHED_AND_BASELINES,"direct compact support observable: bulge/component radius, central compact mass-light component, or decomposition support",P1_PROMOTE_OR_CONFIRM_SOURCE_NATIVE,s4g75_filled_kernel_delta_driver_audit_not_endpoint
