galaxy,formula_family,audit_lane,primary_blocker,scale_radius_source_status,scale_radius_kpc,s4g_match_status,s4g_name,s4g_disk_component_source,s4g_model_components,s4g_model_quality_values,s4g_component_support_status,missing_required_fields,manifest_confidence,manifest_caveat,endpoint_eligibility_status,next_action,audit_claim_boundary
CamB,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
ESO116-G012,K_exponential_disk,S4G_MATCHED_BUT_NO_ACCEPTED_SCALE,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,S4G_MATCHED,ESO116-012,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc,0.85,large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,inspect S4G component table or fallback morphology source for scale,accepted_manifest_audit_not_endpoint_score_not_family_validation
F561-1,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.6000000000000001,few_rotation_points;low_inclination,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
F563-1,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.65,low_inclination;large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
F568-1,K_thick_flared,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;thickness_h_over_rs,0.7000000000000001,low_inclination;vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
IC2574,K_scale_tail_spiral,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,3.875404986526549,S4G_MATCHED,IC2574,D:expdisk_hr3,D,5.0,S4G_EXPDISK_SUPPORT,tail_inner_radius_kpc;tail_cutoff_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
IC4202,K_compact_finite,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,compact_support_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC0024,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,1.39689723855784,S4G_MATCHED,NGC0024,D:expdisk_hr3,D;BAR,5.0,S4G_EXPDISK_WITH_BAR_CAVEAT,thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC2683,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,2.20964580039598,S4G_MATCHED,NGC2683,D:expdisk_hr3,D;BAR;N,5.0,S4G_EXPDISK_WITH_BAR_CAVEAT,thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC3726,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,4.362446514010629,S4G_MATCHED,NGC3726,D:expdisk_hr3,B;D,5.0,S4G_EXPDISK_SUPPORT,thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
