galaxy,split,role,formula_family,formula_family_candidate,family_label_source_status,family_label_claim_boundary,manifest_confidence,manifest_caveat,inclination_deg,distance_frac_error,scale_radius_kpc,scale_radius_source_status,tail_inner_radius_kpc,tail_cutoff_radius_kpc,compact_support_radius_kpc,thickness_h_over_rs,ring_radius_kpc,bar_m2_strength,lopsided_m1_strength,source_dataset,measurement_method,pre_scoring_timestamp,residual_blind_certification,observable_provenance,accepted_source_status,missing_required_fields,caveat_tokens,endpoint_eligibility_status,endpoint_blocker,claim_boundary
CamB,holdout,middle,K_scale_tail_spiral,K_scale_tail_spiral,REVIEW_PROXY_LABEL_NEEDS_EXTERNAL_MORPHOLOGY_AUDIT,predeclared proxy family is residual-blind but not yet promoted to an accepted external morphology label,1.0,none,65.0,0.077380952381,,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,,,,,,,SPARC_Lelli2016c,no accepted source-native morphology observable acquired,2026-06-02,pre_endpoint_external_catalog_query,SPARC_Lelli2016c.mrt,MISSING_ACCEPTED_SOURCE_OBSERVABLES,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,,BLOCKED_NOT_ENDPOINT_ELIGIBLE,external_family_label_audit_pending;scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,partial_field_level_accepted_observables_not_endpoint_validation
ESO116-G012,holdout,middle,K_exponential_disk,K_exponential_disk,REVIEW_PROXY_LABEL_NEEDS_EXTERNAL_MORPHOLOGY_AUDIT,predeclared proxy family is residual-blind but not yet promoted to an accepted external morphology label,0.85,large_distance_error,74.0,0.3,,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,,,,,,,SPARC_Lelli2016c,no accepted source-native morphology observable acquired,2026-06-02,pre_endpoint_external_catalog_query,SPARC_Lelli2016c.mrt,MISSING_ACCEPTED_SOURCE_OBSERVABLES,scale_radius_kpc,large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,external_family_label_audit_pending;scale_radius_kpc,partial_field_level_accepted_observables_not_endpoint_validation
F561-1,holdout,candidate,K_scale_tail_spiral,K_scale_tail_spiral,REVIEW_PROXY_LABEL_NEEDS_EXTERNAL_MORPHOLOGY_AUDIT,predeclared proxy family is residual-blind but not yet promoted to an accepted external morphology label,0.6000000000000001,few_rotation_points;low_inclination,24.0,0.150602409639,,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,,,,,,,SPARC_Lelli2016c,no accepted source-native morphology observable acquired,2026-06-02,pre_endpoint_external_catalog_query,SPARC_Lelli2016c.mrt,MISSING_ACCEPTED_SOURCE_OBSERVABLES,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,few_rotation_points;low_inclination,BLOCKED_NOT_ENDPOINT_ELIGIBLE,external_family_label_audit_pending;scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,partial_field_level_accepted_observables_not_endpoint_validation
F563-1,holdout,candidate,K_scale_tail_spiral,K_scale_tail_spiral,REVIEW_PROXY_LABEL_NEEDS_EXTERNAL_MORPHOLOGY_AUDIT,predeclared proxy family is residual-blind but not yet promoted to an accepted external morphology label,0.65,low_inclination;large_distance_error,25.0,0.200408997955,,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,,,,,,,SPARC_Lelli2016c,no accepted source-native morphology observable acquired,2026-06-02,pre_endpoint_external_catalog_query,SPARC_Lelli2016c.mrt,MISSING_ACCEPTED_SOURCE_OBSERVABLES,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,low_inclination;large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,external_family_label_audit_pending;scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,partial_field_level_accepted_observables_not_endpoint_validation
F568-1,holdout,candidate,K_thick_flared,K_thick_flared,REVIEW_PROXY_LABEL_NEEDS_EXTERNAL_MORPHOLOGY_AUDIT,predeclared proxy family is residual-blind but not yet promoted to an accepted external morphology label,0.7000000000000001,low_inclination;vertical_geometry_proxy_only,26.0,0.106945975744,,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,,,,,,,SPARC_Lelli2016c,no accepted source-native morphology observable acquired,2026-06-02,pre_endpoint_external_catalog_query,SPARC_Lelli2016c.mrt,MISSING_ACCEPTED_SOURCE_OBSERVABLES,scale_radius_kpc;thickness_h_over_rs,low_inclination;vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,external_family_label_audit_pending;scale_radius_kpc;thickness_h_over_rs,partial_field_level_accepted_observables_not_endpoint_validation
IC2574,holdout,control,K_scale_tail_spiral,K_scale_tail_spiral,REVIEW_PROXY_LABEL_NEEDS_EXTERNAL_MORPHOLOGY_AUDIT,predeclared proxy family is residual-blind but not yet promoted to an accepted external morphology label,1.0,none,75.0,0.051150895141,3.875404986526549,ACCEPTED_SOURCE_OBSERVABLE,,,,,,,,SPARC_Lelli2016c;VizieR_J/ApJS/219/4_S4G_Pipeline4,S4G disk-scale arcsec converted to kpc with SPARC distance,2026-06-02,pre_endpoint_external_catalog_query,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PARTIAL_ACCEPTED_SCALE_RADIUS_ONLY,tail_inner_radius_kpc;tail_cutoff_radius_kpc,,BLOCKED_NOT_ENDPOINT_ELIGIBLE,external_family_label_audit_pending;tail_inner_radius_kpc;tail_cutoff_radius_kpc,partial_field_level_accepted_observables_not_endpoint_validation
IC4202,holdout,candidate,K_compact_finite,K_compact_finite,REVIEW_PROXY_LABEL_NEEDS_EXTERNAL_MORPHOLOGY_AUDIT,predeclared proxy family is residual-blind but not yet promoted to an accepted external morphology label,1.0,none,90.0,0.099601593625,,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,,,,,,,SPARC_Lelli2016c,no accepted source-native morphology observable acquired,2026-06-02,pre_endpoint_external_catalog_query,SPARC_Lelli2016c.mrt,MISSING_ACCEPTED_SOURCE_OBSERVABLES,compact_support_radius_kpc,,BLOCKED_NOT_ENDPOINT_ELIGIBLE,external_family_label_audit_pending;compact_support_radius_kpc,partial_field_level_accepted_observables_not_endpoint_validation
NGC0024,holdout,middle,K_thick_flared,K_thick_flared,REVIEW_PROXY_LABEL_NEEDS_EXTERNAL_MORPHOLOGY_AUDIT,predeclared proxy family is residual-blind but not yet promoted to an accepted external morphology label,0.9,vertical_geometry_proxy_only,64.0,0.049315068493,1.39689723855784,ACCEPTED_SOURCE_OBSERVABLE,,,,,,0.4473468717729916,,SPARC_Lelli2016c;VizieR_J/ApJS/219/4_S4G_Pipeline4,S4G disk-scale arcsec converted to kpc with SPARC distance,2026-06-02,pre_endpoint_external_catalog_query,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PARTIAL_ACCEPTED_SCALE_RADIUS_ONLY,thickness_h_over_rs,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,external_family_label_audit_pending;thickness_h_over_rs,partial_field_level_accepted_observables_not_endpoint_validation
NGC2683,holdout,middle,K_thick_flared,K_thick_flared,REVIEW_PROXY_LABEL_NEEDS_EXTERNAL_MORPHOLOGY_AUDIT,predeclared proxy family is residual-blind but not yet promoted to an accepted external morphology label,0.9,vertical_geometry_proxy_only,80.0,0.0499490316,2.20964580039598,ACCEPTED_SOURCE_OBSERVABLE,,,,,,3.871874219694534,,SPARC_Lelli2016c;VizieR_J/ApJS/219/4_S4G_Pipeline4,S4G disk-scale arcsec converted to kpc with SPARC distance,2026-06-02,pre_endpoint_external_catalog_query,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PARTIAL_ACCEPTED_SCALE_RADIUS_ONLY,thickness_h_over_rs,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,external_family_label_audit_pending;thickness_h_over_rs,partial_field_level_accepted_observables_not_endpoint_validation
NGC3726,holdout,candidate,K_thick_flared,K_thick_flared,REVIEW_PROXY_LABEL_NEEDS_EXTERNAL_MORPHOLOGY_AUDIT,predeclared proxy family is residual-blind but not yet promoted to an accepted external morphology label,0.9,vertical_geometry_proxy_only,53.0,0.138888888889,4.362446514010629,ACCEPTED_SOURCE_OBSERVABLE,,,,,,,,SPARC_Lelli2016c;VizieR_J/ApJS/219/4_S4G_Pipeline4,S4G disk-scale arcsec converted to kpc with SPARC distance,2026-06-02,pre_endpoint_external_catalog_query,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PARTIAL_ACCEPTED_SCALE_RADIUS_ONLY,thickness_h_over_rs,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,external_family_label_audit_pending;thickness_h_over_rs,partial_field_level_accepted_observables_not_endpoint_validation
