galaxy,proxy_formula_family_for_scope,sparc_present,s4g_match_status,ned_nedd_match_status,dustpedia_match_status,phangs_match_status,hi_survey_match_status,primary_morphology_source,secondary_morphology_source,accepted_observable_collection_status,crossmatch_notes
CamB,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
ESO116-G012,K_exponential_disk,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
F561-1,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
F563-1,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
F568-1,K_thick_flared,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
IC2574,K_scale_tail_spiral,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
IC4202,K_compact_finite,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
NGC0024,K_thick_flared,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC2683,K_thick_flared,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC3726,K_thick_flared,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC3949,K_thick_flared,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC3972,K_thick_flared,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC4013,K_compact_finite,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC4088,K_thick_flared,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC4183,K_exponential_disk,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
