galaxy,split,formula_family,repair_priority,repair_status,failure_mode,source_targets,residual_blind_action,promotion_use,matched_minus_wrong_mean,source_norm_minus_tpg_v6,source_norm_minus_mond,accepted_label_output_allowed,endpoint_scores_computed,claim_boundary
NGC5985,holdout,K_compact_finite,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,S4G;SPARC_DISTANCE;NED_NEDD,audit existing S4G scale radius against distance/projection caveat and freeze usable scale if residual-blind consistency passes,fastest repair path for source-rich rows with existing scale support,-7.419690435950656,-6.017688497279835,-3.133878099932687,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC00891,holdout,K_scale_tail_spiral,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,S4G;SPARC_DISTANCE;NED_NEDD,audit existing S4G scale radius against distance/projection caveat and freeze usable scale if residual-blind consistency passes,fastest repair path for source-rich rows with existing scale support,-23.48321814011965,-0.158023710734124,-1.8817398069413445,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC04499,holdout,K_scale_tail_spiral,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,S4G;SPARC_DISTANCE;NED_NEDD,audit existing S4G scale radius against distance/projection caveat and freeze usable scale if residual-blind consistency passes,fastest repair path for source-rich rows with existing scale support,-18.614803873870997,-0.8856323095618137,-3.830019706641459,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC4214,holdout,K_scale_tail_spiral,P1_INCLINATION_PROJECTION_REVIEW,NEEDS_INCLINATION_PROJECTION_REVIEW,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,NED_NEDD;S4G;SPARC_METADATA,"review inclination, distance uncertainty, and projection caveats before using scale-sensitive readout",projection-safety gate for low-inclination or distance-caveated rows,-23.65356234274807,-0.9465813582842166,1.7655844401722884,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC05829,holdout,K_scale_tail_spiral,P1_INCLINATION_PROJECTION_REVIEW,NEEDS_INCLINATION_PROJECTION_REVIEW,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,NED_NEDD;S4G;SPARC_METADATA,"review inclination, distance uncertainty, and projection caveats before using scale-sensitive readout",projection-safety gate for low-inclination or distance-caveated rows,-25.958777886358305,0.0045490927040985,-2.3796784587133475,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC0024,holdout,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-26.50988368086929,1.2934178629036772,2.7986093740512956,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC2683,holdout,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-2.9850946469943267,3.4619267039420993,-0.3742583707556477,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC3726,holdout,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-4.362052328743388,7.131836501549387,4.4383685068141006,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC3949,holdout,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-14.092339200044249,5.328040151273189,2.980293759528383,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC3972,holdout,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-11.38381375304365,-1.5723309696573828,-0.5406507436899313,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
