permutation,tpg_mse_reduction_3p6,tpg_mse_reduction_4p5
0,-0.0008419618525300487,0.0007767748764406779
1,-0.040259098228220824,0.024804476694583633
2,0.04185131096306299,0.018040926669686597
3,-0.02513855466703485,-0.031070494476429733
4,-0.006907298251298544,-0.001580953771905147
5,-0.009998989005973735,-0.018739873481691594
6,-0.008795967593469456,-0.00783977627739052
7,-0.012544011185685044,0.012414979168806073
8,-0.018730240810422183,0.01668161023886422
9,-0.0036350876630725226,-0.012239401623092672
10,-0.024240266930151022,-0.01993334092054444
11,-0.008944923706416974,-0.019793105408881573
12,-0.0063041889667379,0.006798920001974573
13,-0.03214094091206077,-0.015444589642564677
14,-0.0042584031028899405,-0.009945459518808208
15,-0.007709591608393573,-0.02093921829573686
16,-0.01904542786350638,-0.01634331775304043
17,-0.010041919671492372,-0.0017482852431273121
18,0.0006323510686098155,0.012773449176272544
19,-0.0020116978625027704,-0.009285338104832674
20,0.04477945940343048,0.007293800480287382
21,-0.039907221303946194,-0.04013390961832164
22,-0.004063940324208981,-0.00287642917350861
23,-0.017534849132402774,-0.022794471218650636
24,-0.01265379310099557,-0.021046288584722572
25,-0.01789588362523653,-0.01918267282263464
26,-0.01942198581577681,-0.018616330201439935
27,0.009795864855573155,-0.034224924885150165
28,0.006440357578073264,-0.00923491056000747
29,0.007296559550232673,-0.02088752939409344
30,-0.01345686933845569,-0.009681505331771478
31,-0.01293820171790383,-0.0030947737764785987
32,-0.06964313129114186,-0.02119260090750208
33,-0.00859910171553746,-0.004176323598836462
34,-0.04000730112810691,-0.010646282827829423
35,0.012915023114656088,-0.013891713504559866
36,-0.03663152346791254,-0.03219108500066559
37,-0.00984705915659545,-0.03151480403704521
38,0.03479498929741193,-0.006251213898679664
39,-0.029061629887802587,-0.002426043237430675
40,-0.013874007215534001,-0.01001194873837119
41,-0.011873736845125382,-0.00027521875709268784
42,-0.08428225506186449,-0.09157563566864346
43,-0.009744390983497886,-0.0620334542845411
44,0.006402851327668713,0.023199572154644965
45,-0.03968326559312929,-0.058119395538143936
46,-0.012733430081304009,-0.01075773739707786
47,0.0009856675444275265,-0.011329440170426475
48,-0.008211280614001781,-0.00302169423775267
49,-0.025794061154964742,-0.009989099850961969
50,-0.025229555325094633,-0.020133510874943084
51,-0.024021053712701024,-0.008409143599964364
52,-0.007728886734417628,-0.023795769734634487
53,-0.015305714600135967,-0.020876465888859164
54,-0.03733735396949245,-0.041778501705396986
55,-0.01774326932575765,-0.014920494749517177
56,-0.01063853747521537,0.011473727133687939
57,-0.008553347295850333,-0.008461974572643194
58,-0.04199994883438696,-0.028007011221979128
59,-0.008414751084309335,-0.021584164652546423
60,-0.0058666164833506285,-0.010784019825566205
61,-0.025982841457783956,-0.0026306271291575145
62,-0.0315237517848278,-0.049390758199785445
63,-0.00823476857429839,0.002062428879045619
64,-0.0071431660525278495,-0.029137584108382297
65,-0.012990801745206837,-0.017048514346142074
66,0.012289459775044032,0.03295996228858339
67,-0.04521743342649209,-0.0031916113646134336
68,-0.011339808252307515,-0.009765777364389883
69,-0.0015021492817816062,0.0030472676830410883
70,-0.02449434564742703,-0.010025974048110897
71,0.007884883162531775,-0.011571899525591567
72,-0.008373428996531374,-0.011975010200349856
73,0.0025475166340961364,-0.01749131515288771
74,0.009897602392032856,0.004420019939944675
75,0.0033906664155469723,-0.0306751092206351
76,-0.014801670590833593,-0.027970048721673524
77,-0.025885083552764532,-0.03346661539025342
78,-0.046506085499701255,-0.03388170122983192
79,-0.016428301768083298,-0.010247752629425455
80,-0.017907558535828483,-0.011045004941818704
81,0.008768730006023628,0.031726051760168406
82,-0.01796472470424959,-0.015119311519084522
83,0.0006276373447142714,0.019810970488310264
84,-0.02385812963655809,-0.004380509487099449
85,0.025646939290387194,0.007338751631901008
86,-0.054757665699220914,-0.047898958050508034
87,-0.022937822855901846,-0.0067918456380756664
88,-0.0240947724331928,0.005893654539071758
89,-0.039601532076720125,-0.04687776305327174
90,-0.010950140651648232,0.018927021892726992
91,-0.00677422218036039,0.014814322544143277
92,0.005522244982688496,-0.0016546767385505756
93,-0.005447025566635788,-0.01392755214584429
94,-0.033164597945102514,-0.031213759349346004
95,-0.010748666564238452,-0.004393322586212167
96,-0.036117040622159036,-0.058010942066415216
97,-0.01871472968843857,-0.016816625029874466
98,-0.08779109311148448,-0.0714050003027249
99,-0.04257187786634553,-0.012174358892214854
100,-0.01921442559927855,-0.011897276400015921
101,-0.038150695273862945,-0.039626785751846416
102,-0.04588842422089623,-0.02993024607907835
103,-0.03604900165181668,-0.027458124190062216
104,-0.02213703626774932,-0.02876722079678351
105,-0.058553636815291354,-0.028357316433705648
106,-0.02181271328805079,-0.002931544407314024
107,-0.00017176342149483048,-0.010660399718001035
108,-0.014144652328272778,-0.010845721899536143
109,-0.003426834675271606,-0.0018627077685652305
110,-0.025606392014913437,-0.05590682101874689
111,-0.007802458278470703,-0.0026425096889446387
112,-0.007058146222750472,0.0005094758046479964
113,-0.013270859596794637,-0.0011092020366579858
114,-0.03190685605529231,-0.02670322975375694
115,-0.02112574010899604,-0.023177648732108813
116,-0.008797592597779458,-0.0088259397466528
117,-0.01599686000270195,-0.030740234547862566
118,-0.06309247760365433,-0.05962167727205492
119,-0.006874137211247855,-0.0025061353469016945
120,-0.027220236831248634,-0.02455133786038388
121,-0.011007869400463943,0.005556688623551853
122,-0.01949417920319274,-0.0391008923433076
123,-0.028705129774983296,-0.03774281529356138
124,0.007193615759407246,-0.017212160398945353
125,-0.016851186581856248,-0.004852340103661423
126,-0.010520648657041387,-0.00838816005430798
127,-0.030800733335955677,-0.013623076389260191
128,-0.020370663830003966,-0.015910708438788612
129,-0.07400497210112411,-0.04508792368214487
130,-0.013711204830277768,-0.01632733762616201
131,-0.005191272578762396,0.012143888000429759
132,-0.015411654428435506,-0.006595827347853023
133,-0.0074704049980124365,-0.024603969514280122
134,-0.009387140311909348,-0.02176848210826754
135,-0.022991281720276868,-0.02558720136060999
136,-0.006118855151235003,-0.013374053336279168
137,0.006166115895240076,-0.003420911681443095
138,-0.012687664658436848,-0.018188135451604137
139,-0.007766582751112194,-0.032156873147551335
140,-0.005409974268319018,-0.016898677892649316
141,-0.0184807162895958,-0.014384128136528118
142,-0.023563779754497527,-0.018151771114977233
143,-0.015516069696467683,-0.008319091762115871
144,-0.005317708712458957,-0.015536813019920825
145,-0.007500667041884568,-0.008879715329237037
146,-0.03754912802673016,-0.04437676233733512
147,-0.008359995121520858,0.01118267961814945
148,-0.002891475739362992,0.0012365684375419406
149,-0.003867932400146379,-0.006800226902709872
150,-0.056930186400844796,0.010524368364101644
151,-0.0018677042727693882,0.0016751452504806252
152,0.019775157890562278,0.03559943956340966
153,-0.014021657265510634,-0.019445473547478276
154,-0.03828140005956726,-0.01860453756405367
155,-0.00920174409996033,-0.0014176696776913023
156,-0.032413708146161846,-0.0411961804375961
157,-0.006583751401123106,-0.01639532574924174
158,0.007319336138395749,-0.0026863303061757104
159,-0.011708997326121517,0.0015065316598783518
160,-0.03385382275738891,0.009815437065358257
161,-0.006175660887501655,-0.006500213417136358
162,-0.015656086944329628,-0.02406802455963497
163,-0.01784133547639999,-0.015251186617308066
164,-0.014406822505186323,-0.023603398964616717
165,-0.002686570566470925,-0.014970523151438542
166,-0.029469399984614397,-0.01968543023903946
167,-0.01566118362246094,-0.003516192716250588
168,0.002995595131262352,-0.005960840435313863
169,-0.02322940963102449,-0.015357585312810063
170,-0.04195393682920978,-0.05231857573632803
171,0.0007136884609995064,0.004523869851208562
172,-0.013144886477853501,-0.009965657943959205
173,0.02490225761759962,0.02053677637333262
174,-0.024702907359782866,-0.007125718914339441
175,-0.03793772081327329,-0.03099517812173469
176,-0.02876738768775655,-0.035538501555744784
177,-0.003294519232819537,-0.012702396667944482
178,0.007812036575201353,0.03191536248008292
179,0.011303689130566896,0.02234906356462446
180,-0.013325491951436397,-0.02228106925453155
181,0.047952974876576626,-0.010411651947444978
182,-0.0018308709078156404,-0.005818671640795303
183,-0.016567793324917868,-0.027426589574410354
184,-0.02665880430802392,-0.04048780310858868
185,-0.01716480267330689,-0.010997422289279468
186,-0.004694760098668094,-0.025783663958683922
187,-0.005012941639513158,-0.022592757016415943
188,-0.021754674315108913,-0.017636878795008304
189,-0.005378668173764201,0.0005868787093529226
190,0.005827351763253774,-0.004845965197586288
191,-0.015235328899788292,-0.031870192229058625
192,-0.005966242576559755,-0.012107521632316653
193,-0.024306472561501535,-0.026576963060734093
194,-0.06446282920596103,-0.038109725022483554
195,-0.00092059466276595,0.033351658198494116
196,-0.031165864685794853,-0.039075380605316345
197,0.005524210665743712,-0.015011048457680087
198,0.00392848390620637,0.02894390403177688
199,-0.0028196068491682658,0.005999291887838543
200,-0.02611695083858656,-0.032705382985125375
201,-0.004332458759083613,-0.04286995956169648
