galaxy,proposed_readout_subfamily,evidence_id,observable_name,observable_value,observable_unit,numeric_value,source_file,source_line_refs,source_extraction,extraction_status,acceptance_use,source_path,source_exists,accepted_label_promoted,endpoint_scores_allowed,claim_boundary
IC2574,K_disturbed_outer_tail,hi_asymmetry_map,extended_hi_envelope_present,true,boolean,,ic2574_deblok_2020_m81_hi_survey.txt,20-29;392-395;544-545,Deep HI observations map an extended HI envelope around IC2574.,ACCEPTED_CONTEXT_SOURCE_FIELD,supports disturbed-gas/envelope review; not a complete tail-transition radius,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ic2574_deblok_2020_m81_hi_survey.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
IC2574,K_disturbed_outer_tail,outer_tail_transition,hi_cloud_connection_or_tail_context,HIJASS_J1021+68_clouds_connected_to_IC2574_envelope,categorical,,ic2574_deblok_2020_m81_hi_survey.txt,20-29;1017-1027,The HI complex is interpreted as clouds stripped from or falling onto the IC2574 envelope.,ACCEPTED_CONTEXT_SOURCE_FIELD,supports morphology-history/tail context; exact transition radius still missing,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ic2574_deblok_2020_m81_hi_survey.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
IC2574,K_disturbed_outer_tail,outer_tail_transition,outer_tail_transition_radius,not_reported_in_extracted_text,kpc,,ic2574_deblok_2020_m81_hi_survey.txt,20-29,The source supports an extended envelope but does not give the subfamily tail-onset radius in the extracted text.,BLOCKED_NEEDS_MEASUREMENT,needs map/profile extraction before numeric kernel use,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ic2574_deblok_2020_m81_hi_survey.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
IC2574,K_disturbed_outer_tail,environment_history,hi_holes_shells_count,48,count,48,ic2574_walter_brinks_1999_hi_holes_shells.txt,17-29,VLA HI observations report 48 mostly expanding HI shells and holes.,ACCEPTED_NUMERIC_SOURCE_FIELD,supports morphology-memory/disturbed-ISM source layer,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ic2574_walter_brinks_1999_hi_holes_shells.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
IC2574,K_disturbed_outer_tail,environment_history,hi_layer_scaleheight,350,pc,350,ic2574_walter_brinks_1999_hi_holes_shells.txt,47-49,The HI layer scaleheight is reported at about 350 pc.,ACCEPTED_NUMERIC_SOURCE_FIELD,"supports disturbed/thick gas context, not by itself a tail label",/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ic2574_walter_brinks_1999_hi_holes_shells.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
IC2574,K_disturbed_outer_tail,outer_tail_transition,sided_hole_age_asymmetry,receding_and_approaching_age_distributions_differ,categorical,,ic2574_sanchez_salcedo_hidalgo_gamez_2002_holes.html,html-meta-description,"The source reports asymmetric hole ages, photometric properties, and HI mass between the two sides.",ACCEPTED_CONTEXT_SOURCE_FIELD,supports asymmetry context; no radius extracted,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ic2574_sanchez_salcedo_hidalgo_gamez_2002_holes.html,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC4013,K_true_compact,disk_overlay_check,compact_only_overlay_flag,warp_flare_disk_halo_overlay_present,categorical,,ngc4013_zschaechner_rand_2015_hi_kinematics.txt,13-23;126-128;170-172,NGC4013 is described as distinctly/substantially warped with disk-halo activity.,RECLASSIFICATION_PRESSURE_SOURCE_FIELD,warns that K_true_compact needs overlay or rejection before endpoint use,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc4013_zschaechner_rand_2015_hi_kinematics.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC4013,K_true_compact,disk_overlay_check,line_of_sight_warp_onset,10,kpc,10,ngc4013_zschaechner_rand_2015_hi_kinematics.txt,406-409,"The line-of-sight warp component begins near 1.2 arcmin, about 10 kpc.",ACCEPTED_NUMERIC_SOURCE_FIELD,supports disk/warp overlay review,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc4013_zschaechner_rand_2015_hi_kinematics.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC4013,K_true_compact,disk_overlay_check,final_hi_scaleheight_central,210,pc,210,ngc4013_zschaechner_rand_2015_hi_kinematics.txt,430-439,"Final models use a central scale height of about 3 arcsec, or 210 pc.",ACCEPTED_NUMERIC_SOURCE_FIELD,supports thin/flaring disk overlay review,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc4013_zschaechner_rand_2015_hi_kinematics.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC4013,K_true_compact,disk_overlay_check,rotational_lag_profile,lag_shallows_radially_from_minus35_to_zero_near_R25,km/s/kpc profile,,ngc4013_zschaechner_rand_2015_hi_kinematics.txt,13-20;474-480;527-528,The HI lag is detected and becomes shallower with radius.,ACCEPTED_CONTEXT_SOURCE_FIELD,supports disk-halo/vertical-flow overlay review,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc4013_zschaechner_rand_2015_hi_kinematics.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC5907,K_projection_dominated,projection_geometry,optical_warp_radial_range,13.3-24.0,kpc,13.3;24.0,ngc5907_sasaki_1987_surface_photometry_warp.txt,9-23,The optical warp is reported over projected distances 13.3-24.0 kpc.,ACCEPTED_NUMERIC_SOURCE_FIELD,supports projection/warp geometry review,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc5907_sasaki_1987_surface_photometry_warp.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC5907,K_projection_dominated,projection_geometry,optical_warp_max_displacement,1.7,kpc,1.7,ngc5907_sasaki_1987_surface_photometry_warp.txt,15-23,The maximum optical-warp displacement is reported at about 1.7 kpc.,ACCEPTED_NUMERIC_SOURCE_FIELD,supports projection/warp amplitude review,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc5907_sasaki_1987_surface_photometry_warp.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC5907,K_projection_dominated,projection_geometry,disk_truncation_scale_lengths,main_disk_4.92_kpc;corrected_4.70_kpc;outer_truncated_1.23_kpc,kpc,4.92;4.70;1.23,ngc5907_sasaki_1987_surface_photometry_warp.txt,9-15,The main disk and truncated outer portion have distinct scale lengths.,ACCEPTED_NUMERIC_SOURCE_FIELD,supports projection/truncation review,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc5907_sasaki_1987_surface_photometry_warp.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC5907,K_projection_dominated,velocity_field_sanity,interaction_warp_context,warp_and_dwarf_interaction_context_present,categorical,,ngc5907_shang_1998_ring_warp_interaction.txt,title/abstract source,The source frames NGC5907 as a ring/warp interaction case with dwarf-galaxy context.,ACCEPTED_CONTEXT_SOURCE_FIELD,supports projection/history review,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc5907_shang_1998_ring_warp_interaction.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC5907,K_projection_dominated,vertical_or_warp_source,edge_on_vertical_structure_source,CO_HI_Spitzer_vertical_structure_study_present,categorical,,ngc5907_wiegert_2015_edge_on_ism.txt,14-23;52-59,"The source studies vertical gas and stellar structure using CO, HI, and Spitzer data.",ACCEPTED_CONTEXT_SOURCE_FIELD,supports vertical/projection sanity; exact extracted h/Rs still pending,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc5907_wiegert_2015_edge_on_ism.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC7331,K_thick_regular,vertical_scale_or_thickness,molecular_scaleheight_range,100-200,pc,100;200,ngc7331_patra_2018_molecular_scale_height.txt,16-24;715-721;984-986,"The molecular gas scaleheight is reported in the 100-200 pc range, depending on radius and velocity dispersion.",ACCEPTED_NUMERIC_SOURCE_FIELD,supports K_thick_regular vertical-scale evidence,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc7331_patra_2018_molecular_scale_height.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC7331,K_thick_regular,vertical_scale_or_thickness,edge_on_projected_hwhm,500,pc,500,ngc7331_patra_2018_molecular_scale_height.txt,23-26;955-981;1033-1037,The projected edge-on molecular disk HWHM is reported at about 500 pc.,ACCEPTED_NUMERIC_SOURCE_FIELD,supports K_thick_regular observable thickness,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc7331_patra_2018_molecular_scale_height.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC7331,K_thick_regular,projection_safety,inclination_review_range,72-80;adopted_76,deg,72;80;76,ngc7331_patra_2018_molecular_scale_height.txt,108-110;864-867;960-965;1028-1031,The source explores inclinations 72-80 degrees and adopts 76 degrees.,ACCEPTED_NUMERIC_SOURCE_FIELD,supports projection-safety context for NGC7331,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc7331_patra_2018_molecular_scale_height.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC7331,K_thick_regular,low_warp_asymmetry,possible_outer_warp_caveat,possible_extra_outer_emission_from_warp,categorical,,ngc7331_patra_2018_molecular_scale_height.txt,960-968,The source notes that extra edge emission could be produced by an outer-disk warp.,CAVEAT_CONTEXT_SOURCE_FIELD,prevents unconditional low-warp acceptance without HI/projection review,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc7331_patra_2018_molecular_scale_height.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC4183,K_expdisk_overlay,bar_core_projection_history_overlay,whisp_lopsidedness_context,whisp_kinematic_lopsidedness_method_context,categorical,,ngc4183_whisp_lopsidedness_context_2011.txt,23-36;103-128;907-923,"The source provides WHISP lopsidedness methodology and sample context, but not a direct NGC4183 extracted row here.",CONTEXT_ONLY_NOT_GALAXY_SPECIFIC,needs primary table/galaxy-specific extraction before subfamily acceptance,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc4183_whisp_lopsidedness_context_2011.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC4088,K_warp_history_coupled,warp_onset_asymmetry,orientation_mismatch_first_pass,90,deg,90,internal:s4g75_ngc4088_epsilon_cross_source_observables.csv,O1_ORIENTATION_MISMATCH,The source-bound protocol records a first-pass outer/inner orientation mismatch of 90 degrees from the NGC4088 channel-map digitization response.,PRELIMINARY_SOURCE_FIELD_REVIEW_REQUIRED,supports warp/history review only; independent source review still required before numeric bound use,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/derived/s4g75_ngc4088_epsilon_cross_source_observables.csv,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC4088,K_warp_history_coupled,warp_onset_asymmetry,side_asymmetry_first_pass,0.40,arcmin,0.40,internal:s4g75_ngc4088_epsilon_cross_source_observables.csv,O2_SIDE_ASYMMETRY,The source-bound protocol records a first-pass side-asymmetry proxy of 0.40 arcmin from the channel-map digitization response.,PRELIMINARY_SOURCE_FIELD_REVIEW_REQUIRED,supports asymmetry review only; independent source review still required before numeric bound use,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/derived/s4g75_ngc4088_epsilon_cross_source_observables.csv,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC4088,K_warp_history_coupled,warp_onset_asymmetry,x_warp_onset_value,not_extracted,dimensionless_RHI_fraction,,internal:s4g75_ngc4088_warp_onset_status.csv,WARP_PRESENT_ONSET_NOT_EXTRACTED,"The current best source status records a qualitative warp plus global HI geometry, but no source-native radial onset or PA/theta profile has been extracted.",BLOCKED_NEEDS_MEASUREMENT,"requires radial PA profile, radial warp-angle profile, or channel-map digitization before accepted subfamily use",/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/derived/s4g75_ngc4088_warp_onset_status.csv,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC4088,K_warp_history_coupled,hi_disturbance,q_warp_measured_first_pass,1.0,dimensionless,1.0,internal:s4g75_ngc4088_qwarp_first_pass_response.csv,QWARP_FIRST_PASS_SOURCE_RESPONSE_V1,"A first-pass source response records q_warp_measured=1.0 from 23 panel measurements, with review still required.",PRELIMINARY_SOURCE_FIELD_REVIEW_REQUIRED,cannot be used as an accepted numeric bound until independently reviewed,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/derived/s4g75_ngc4088_qwarp_first_pass_response.csv,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC4088,K_warp_history_coupled,interaction_history,h4_interaction_context,1.0,dimensionless,1.0,internal:s4g75_ngc4088_h4_interaction_context_review_summary.csv,H4_INTERACTION_CONTEXT_ACCEPTED_SOURCE_REVIEWED,The H4 interaction-context source review accepts the interaction/history context for protocol-bound use.,ACCEPTED_NUMERIC_SOURCE_FIELD,"supports interaction/history context for K_warp_history_coupled, but does not by itself accept the subfamily",/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/derived/s4g75_ngc4088_h4_interaction_context_review_summary.csv,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC4088,K_warp_history_coupled,interaction_history,m_history_warp_first_pass,1.0,dimensionless,1.0,internal:s4g75_ngc4088_memory_history_first_pass_response.csv,PARTIAL_FIRST_PASS_SOURCE_FILLED_REVIEW_REQUIRED,"A first-pass memory/history response records m_history_warp=1.0, but one required component remains unaccepted and review is required.",PRELIMINARY_SOURCE_FIELD_REVIEW_REQUIRED,supports memory/history review only; not accepted for numeric endpoint or bound use,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/derived/s4g75_ngc4088_memory_history_first_pass_response.csv,True,False,False,source_extraction_not_endpoint_label_acceptance
NGC4088,K_warp_history_coupled,epsilon_cross_bound,epsilon_cross_numeric_bound,blocked_until_q_and_memory_ready,dimensionless,,internal:s4g75_ngc4088_epsilon_cross_source_bound_summary.csv,SYMBOLIC_UNBOUNDED_UNTIL_Q_AND_MEMORY_READY,"The epsilon_cross source-bound protocol has a partial source-bound state, but numeric bound use remains blocked until q_warp and memory/history are accepted.",BLOCKED_NEEDS_MEASUREMENT,blocks endpoint-safe epsilon_cross use for K_warp_history_coupled,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/derived/s4g75_ngc4088_epsilon_cross_source_bound_summary.csv,True,False,False,source_extraction_not_endpoint_label_acceptance
UGC05716,K_disturbed_outer_tail,hi_asymmetry_map,hi_rotation_context,rotation_dominated_HI_velocity_field,categorical,,ugc05716_swaters_2009_late_type_dwarf_rotation_shapes.txt,634-659,D500-2/UGC5716 is described as rotation dominated with a fitted HI disk.,ACCEPTED_CONTEXT_SOURCE_FIELD,supports HI source availability; not a disturbed-tail acceptance,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ugc05716_swaters_2009_late_type_dwarf_rotation_shapes.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
UGC05716,K_disturbed_outer_tail,hi_asymmetry_map,ugc05716_kinematic_inclination,57,deg,57,ugc05716_swaters_2009_late_type_dwarf_rotation_shapes.txt,640-659,The kinematic inclination is reported at about 57 degrees with a 6 degree uncertainty.,ACCEPTED_NUMERIC_SOURCE_FIELD,supports projection context; not HI asymmetry,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ugc05716_swaters_2009_late_type_dwarf_rotation_shapes.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
UGC05716,K_disturbed_outer_tail,hi_asymmetry_map,hi_asymmetry_or_tail_measurement,not_extracted,categorical,,ugc05716_swaters_2009_late_type_dwarf_rotation_shapes.txt,634-659,"The extracted section supports rotation/inclination, not a resolved HI asymmetry or tail transition.",BLOCKED_NEEDS_MEASUREMENT,needs HI map/asymmetry extraction before K_disturbed_outer_tail acceptance,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ugc05716_swaters_2009_late_type_dwarf_rotation_shapes.txt,True,False,False,source_extraction_not_endpoint_label_acceptance
