readout_component,component_status,n_rows,n_galaxies,endpoint_ready_components
K_compact_finite,MISSING_ACCEPTED_COMPONENT_INPUT,143,143,0
K_compact_finite,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,32,32,0
K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,175,175,0
K_scale_tail_spiral,MISSING_ACCEPTED_COMPONENT_INPUT,84,84,0
K_scale_tail_spiral,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,91,91,0
K_thick_flared,MISSING_ACCEPTED_COMPONENT_INPUT,51,51,0
K_thick_flared,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,124,124,0
memory_history,NO_MEMORY_PROXY_FLAG,62,62,0
memory_history,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,113,113,0
normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,175,175,0
