coverage_field,n_galaxies,fraction,claim_boundary
sparc_hi_ready,171,0.9771428571428571,source_expansion_not_label_not_endpoint
s4g_scale_ready,75,0.42857142857142855,source_expansion_not_label_not_endpoint
s4g_bar_ready,19,0.10857142857142857,source_expansion_not_label_not_endpoint
s4g_compact_component_ready,35,0.2,source_expansion_not_label_not_endpoint
dustpedia_any_match,31,0.17714285714285713,source_expansion_not_label_not_endpoint
dustpedia_hi_match,31,0.17714285714285713,source_expansion_not_label_not_endpoint
dustpedia_physical_match,29,0.1657142857142857,source_expansion_not_label_not_endpoint
dustpedia_dust_profile_match,31,0.17714285714285713,source_expansion_not_label_not_endpoint
phangs_sample_match,2,0.011428571428571429,source_expansion_not_label_not_endpoint
phangs_muse_ready,0,0.0,source_expansion_not_label_not_endpoint
phangs_alma_ready,2,0.011428571428571429,source_expansion_not_label_not_endpoint
q_tail_candidate,172,0.9828571428571429,source_expansion_not_label_not_endpoint
q_expdisk_scale_candidate,75,0.42857142857142855,source_expansion_not_label_not_endpoint
q_bar_candidate,19,0.10857142857142857,source_expansion_not_label_not_endpoint
q_compact_candidate,48,0.2742857142857143,source_expansion_not_label_not_endpoint
q_memory_candidate,172,0.9828571428571429,source_expansion_not_label_not_endpoint
l4_velocity_field_candidate,0,0.0,source_expansion_not_label_not_endpoint
