galaxy,parent_family,proposed_readout_subfamily,evidence_id,target_field,preferred_source_family,evidence_status,current_evidence,next_action,endpoint_scores_allowed,claim_boundary,source_status,source_title,source_authors_year,source_url,source_evidence,promotion_relevance,endpoint_scores_allowed_external,accepted_label_promoted,claim_boundary_external,matched_evidence_row,external_source_status,post_acquisition_status
IC2574,K_scale_tail_spiral,K_disturbed_outer_tail,hi_radius_mass,MHI_1e9Msun;RHI_kpc,SPARC master table,SOURCE_READY_CONTEXT_ONLY,SPARC HI mass/radius present,needs resolved HI asymmetry/profile for subfamily acceptance,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
IC2574,K_scale_tail_spiral,K_disturbed_outer_tail,hi_asymmetry_map,HI asymmetry or tail map,HI surveys / THINGS / LITTLE THINGS / WHISP / literature,MISSING_OR_REVIEW_REQUIRED,hi_asymmetry_map requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint,DIRECT_HI_CONTEXT_READY_REVIEW_REQUIRED,5 deg x 5 deg deep HI survey of the M81 group - II. HI distribution and kinematics of IC 2574 and HIJASS J1021+68,de Blok et al. / MNRAS 2020 source family,https://academic.oup.com/mnras/article/493/2/2618/5734519,deep HI observations map the extended HI envelope around IC2574 and derive an extended 3D tilted-ring rotation curve,candidate source for disturbed-tail/HI-envelope subfamily; asymmetry and tail-transition radii still need extraction,False,False,readout_subfamily_external_source_acquisition_not_endpoint,True,DIRECT_HI_CONTEXT_READY_REVIEW_REQUIRED,REVIEW_READY_NOT_ACCEPTED
IC2574,K_scale_tail_spiral,K_disturbed_outer_tail,outer_tail_transition,tail inner/cutoff radius,HI profile or deep optical/IR outer disk,MISSING_OR_REVIEW_REQUIRED,outer_tail_transition requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint,DIRECT_ASYMMETRY_CONTEXT_READY_REVIEW_REQUIRED,A New Look at the Holes of IC 2574,Sánchez-Salcedo & Hidalgo-Gámez 2002,https://astronomia.unam.mx/journals/rmxaa/article/view/2002rmxaa..38...39s,abstract notes asymmetry between both sides in photometric properties and HI mass,candidate evidence for K_disturbed_outer_tail; needs accepted extraction/audit,False,False,readout_subfamily_external_source_acquisition_not_endpoint,True,DIRECT_ASYMMETRY_CONTEXT_READY_REVIEW_REQUIRED,REVIEW_READY_NOT_ACCEPTED
IC2574,K_scale_tail_spiral,K_disturbed_outer_tail,environment_history,interaction or companion evidence,NED/SIMBAD/literature,MISSING_OR_REVIEW_REQUIRED,environment_history requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint,DIRECT_HI_CONTEXT_READY_REVIEW_REQUIRED,Holes and Shells in the Interstellar Medium of the Nearby Dwarf Galaxy IC 2574,Walter & Brinks 1999,https://arxiv.org/abs/astro-ph/9904002,VLA HI synthesis observations report many HI holes/shells and an HI layer scaleheight context,supports morphology-memory/disturbed-gas review; not a tail-transition measurement by itself,False,False,readout_subfamily_external_source_acquisition_not_endpoint,True,DIRECT_HI_CONTEXT_READY_REVIEW_REQUIRED,REVIEW_READY_NOT_ACCEPTED
IC4202,K_compact_finite,K_true_compact,compact_support_radius,compact support radius or bulge/core scale,S4G/NED/SIMBAD/decomposition,PROXY_SUPPORT_ONLY,bulge/core proxy present,extract compact support radius from decomposition/literature,False,readout_subfamily_source_evidence_matrix_not_endpoint,NO_TARGETED_EXTERNAL_SOURCE_HIT_THIS_PASS,,,,local manifest has bulge/core proxy but no accepted compact support radius source,query S4G/NED/SIMBAD/decomposition next,False,False,readout_subfamily_external_source_acquisition_not_endpoint,True,NO_TARGETED_EXTERNAL_SOURCE_HIT_THIS_PASS,SOURCE_SEARCH_STILL_REQUIRED
IC4202,K_compact_finite,K_true_compact,bulge_core_decomposition,B/N/component evidence,S4G Pipeline4 or literature,PROXY_SUPPORT_ONLY,bulge/core proxy present from manifest,promote with S4G/literature component evidence,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
IC4202,K_compact_finite,K_true_compact,disk_overlay_check,extended disk influence check,S4G/SPARC/literature,MISSING_OR_REVIEW_REQUIRED,disk_overlay_check requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
NGC4013,K_compact_finite,K_true_compact,compact_support_radius,compact support radius or bulge/core scale,S4G/NED/SIMBAD/decomposition,PROXY_SUPPORT_ONLY,bulge/core proxy present,extract compact support radius from decomposition/literature,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
NGC4013,K_compact_finite,K_true_compact,bulge_core_decomposition,B/N/component evidence,S4G Pipeline4 or literature,PROXY_SUPPORT_ONLY,bulge/core proxy present from manifest,promote with S4G/literature component evidence,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
NGC4013,K_compact_finite,K_true_compact,disk_overlay_check,extended disk influence check,S4G/SPARC/literature,MISSING_OR_REVIEW_REQUIRED,disk_overlay_check requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint,DIRECT_HI_WARP_CONTEXT_READY_REVIEW_REQUIRED,The HI Kinematics of NGC 4013: a Steep and Radially Shallowing Extra-planar Rotational Lag,Zschaechner & Rand 2015,https://arxiv.org/abs/1506.05123,paper describes NGC4013 as distinctly warped with evidence of disk-halo activity,warns compact-only classification may need disk/warp overlay review,False,False,readout_subfamily_external_source_acquisition_not_endpoint,True,DIRECT_HI_WARP_CONTEXT_READY_REVIEW_REQUIRED,REVIEW_READY_NOT_ACCEPTED
