galaxy,parent_family,proposed_readout_subfamily,evidence_id,target_field,preferred_source_family,evidence_status,current_evidence,next_action,endpoint_scores_allowed,claim_boundary
IC2574,K_scale_tail_spiral,K_disturbed_outer_tail,hi_radius_mass,MHI_1e9Msun;RHI_kpc,SPARC master table,SOURCE_READY_CONTEXT_ONLY,SPARC HI mass/radius present,needs resolved HI asymmetry/profile for subfamily acceptance,False,readout_subfamily_source_evidence_matrix_not_endpoint
IC2574,K_scale_tail_spiral,K_disturbed_outer_tail,hi_asymmetry_map,HI asymmetry or tail map,HI surveys / THINGS / LITTLE THINGS / WHISP / literature,MISSING_OR_REVIEW_REQUIRED,hi_asymmetry_map requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint
IC2574,K_scale_tail_spiral,K_disturbed_outer_tail,outer_tail_transition,tail inner/cutoff radius,HI profile or deep optical/IR outer disk,MISSING_OR_REVIEW_REQUIRED,outer_tail_transition requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint
IC2574,K_scale_tail_spiral,K_disturbed_outer_tail,environment_history,interaction or companion evidence,NED/SIMBAD/literature,MISSING_OR_REVIEW_REQUIRED,environment_history requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint
IC4202,K_compact_finite,K_true_compact,compact_support_radius,compact support radius or bulge/core scale,S4G/NED/SIMBAD/decomposition,PROXY_SUPPORT_ONLY,bulge/core proxy present,extract compact support radius from decomposition/literature,False,readout_subfamily_source_evidence_matrix_not_endpoint
IC4202,K_compact_finite,K_true_compact,bulge_core_decomposition,B/N/component evidence,S4G Pipeline4 or literature,PROXY_SUPPORT_ONLY,bulge/core proxy present from manifest,promote with S4G/literature component evidence,False,readout_subfamily_source_evidence_matrix_not_endpoint
IC4202,K_compact_finite,K_true_compact,disk_overlay_check,extended disk influence check,S4G/SPARC/literature,MISSING_OR_REVIEW_REQUIRED,disk_overlay_check requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint
NGC4013,K_compact_finite,K_true_compact,compact_support_radius,compact support radius or bulge/core scale,S4G/NED/SIMBAD/decomposition,PROXY_SUPPORT_ONLY,bulge/core proxy present,extract compact support radius from decomposition/literature,False,readout_subfamily_source_evidence_matrix_not_endpoint
NGC4013,K_compact_finite,K_true_compact,bulge_core_decomposition,B/N/component evidence,S4G Pipeline4 or literature,PROXY_SUPPORT_ONLY,bulge/core proxy present from manifest,promote with S4G/literature component evidence,False,readout_subfamily_source_evidence_matrix_not_endpoint
NGC4013,K_compact_finite,K_true_compact,disk_overlay_check,extended disk influence check,S4G/SPARC/literature,MISSING_OR_REVIEW_REQUIRED,disk_overlay_check requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint
