source_family,local_artifact,available_count,status,notes,claim_boundary
SPARC,external_sparc_master_table.csv,175,ACQUIRED_FULL_175,residual-blind source layer; not a rotation endpoint score,source_availability_not_endpoint_validation
S4G,external_s4g_sparc_observable_candidates.csv,75,PARTIAL_SCALE_RADIUS_CANDIDATES,residual-blind source layer; not a rotation endpoint score,source_availability_not_endpoint_validation
DustPedia,morphology_information_gain_source_expansion.csv,31,FULL_SAMPLE_SOURCE_CANDIDATES,residual-blind source layer; not a rotation endpoint score,source_availability_not_endpoint_validation
HI_surveys,morphology_information_gain_source_expansion.csv,171,FULL_SAMPLE_SPARC_HI_READY,residual-blind source layer; not a rotation endpoint score,source_availability_not_endpoint_validation
PHANGS,morphology_information_gain_source_expansion.csv,2,FULL_SAMPLE_PUBLIC_SAMPLE_MATCHES,residual-blind source layer; not a rotation endpoint score,source_availability_not_endpoint_validation
L2_tail_candidates,morphology_information_gain_source_expansion.csv,172,SOURCE_CANDIDATE_NOT_ACCEPTED_WEIGHT,residual-blind source layer; not a rotation endpoint score,source_availability_not_endpoint_validation
L2_compact_candidates,morphology_information_gain_source_expansion.csv,48,SOURCE_CANDIDATE_NOT_ACCEPTED_WEIGHT,residual-blind source layer; not a rotation endpoint score,source_availability_not_endpoint_validation
L2_bar_candidates,morphology_information_gain_source_expansion.csv,19,SOURCE_CANDIDATE_NOT_ACCEPTED_WEIGHT,residual-blind source layer; not a rotation endpoint score,source_availability_not_endpoint_validation
L4_velocity_field_candidates,morphology_information_gain_source_expansion.csv,0,BLOCKED_NO_MUSE_READY_MATCHES,residual-blind source layer; not a rotation endpoint score,source_availability_not_endpoint_validation
readout_state_vector_components,readout_state_vector_gap_audit.csv,0,ENDPOINT_READY_COMPONENTS_MISSING,422 proxy-only components; accepted L2 weights still blocked,source_availability_not_endpoint_validation
