protocol_layer,predeclared_choice,rule,purpose,source,forbidden_inputs,claim_status
primary_endpoint_lane,no_low_inclination,Exclude galaxies with manifest caveat low_inclination before endpoint scoring.,Balance morphology-specific shuffled-null support and baseline competitiveness.,endpoint_decision_matrix.csv,vobs endpoint residual gain; required_S_tau; posthoc gate choice,candidate_primary_endpoint
fuller_sample_support_lane,all,Run the same endpoint on all available holdout galaxies as support and stress test.,Preserve larger-sample morphology-label specificity evidence.,quality_gate_shuffled_null_summary.csv,posthoc exclusion after endpoint scoring,specificity_support_not_baseline_claim
baseline_secondary_lane,no_large_distance_error,Exclude galaxies with manifest caveat large_distance_error before endpoint scoring.,Stress baseline competitiveness under a broader observability rule.,endpoint_decision_matrix.csv,baseline-driven posthoc filtering,secondary_endpoint_candidate
amplitude_policy,train_selected_family_to_global_shrinkage_0_40,Use family_weight=0.40 selected from train split metrics only.,Avoid choosing the amplitude shrinkage weight directly from holdout.,train_selected_shrinkage_selection.csv,holdout-selected amplitude; per-galaxy endpoint amplitude tuning,diagnostic_policy_pending_tau_side_normalization
morphology_family_assignment,residual_blind_manifest_formula_family,Assign K_g from the morphology manifest before scoring.,Prevent formula-family labels from using residual endpoints.,morphology_parameter_manifest.csv,vobs residual shape; required_S_tau; family choice by fit quality,required_for_tau_core_specificity
primary_specificity_metric,matched_beats_wrong_fraction_and_mean_matched_minus_wrong,Compare matched family against wrong-family mean and shuffled-family null.,"Test Tau Core morphology-family specificity, not merely lower residuals.",quality_gate_shuffled_null_summary.csv,dropping wrong families after seeing scores,primary_claim_metric
baseline_metrics,TPG_v6_and_MOND_win_fractions,Report matched-family win fractions against TPG/v6 and MOND comparators.,Keep standard baseline comparison visible without overclaiming.,predeclared_quality_gate_diagnostics.csv,baseline replacement claim from diagnostic-only results,secondary_comparator_metric
caveated_rows,preserve_as_limited_observability_evidence,Do not discard caveated rows from the package; report them in support/control lanes.,Preserve negative and limited-observability evidence.,family_observable_quality_diagnostics.csv,silent removal of difficult galaxies,claim_boundary_requirement
primary_endpoint_lane_current_metrics,no_low_inclination,n=35; matched_vs_wrong=0.857; TPG_v6=0.514; MOND=0.657; p_beats_wrong=0.0410; p_mean=0.0110,Record current preparation-state metrics for this lane.,endpoint_decision_matrix.csv,interpreting preparation metrics as final validation,primary_endpoint_candidate
fuller_sample_support_lane_current_metrics,all,n=44; matched_vs_wrong=0.818; TPG_v6=0.477; MOND=0.614; p_beats_wrong=0.0360; p_mean=0.0130,Record current preparation-state metrics for this lane.,endpoint_decision_matrix.csv,interpreting preparation metrics as final validation,specificity_null_primary
baseline_secondary_lane_current_metrics,no_large_distance_error,n=26; matched_vs_wrong=0.885; TPG_v6=0.538; MOND=0.731; p_beats_wrong=0.1309; p_mean=0.1219,Record current preparation-state metrics for this lane.,endpoint_decision_matrix.csv,interpreting preparation metrics as final validation,baseline_competitiveness_secondary
