galaxy,split,formula_family,inclusion_lane,allowed_use,hard_beats_wrong_mean,hard_minus_wrong_mean,tau_beats_tpg_v6,tau_beats_mond,tau_minus_tpg_v6,tau_minus_mond,closure_fraction_c,net_signed_source_strength_v2,positive_component_strength_v2,negative_component_strength_v2,signed_cancellation_ratio,has_proxy_component,n_proxy_components,median_e_tau_gate,failure_mode,failure_reason,endpoint_scores_computed,uses_vobs_or_residual_for_classification,claim_boundary
NGC4013,holdout,K_compact_finite,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,5.325027735377471,False,False,2.6628680212967915,0.6025584950348488,0.649767453635865,2159.6538141327014,4528.568451785961,-2368.914637653259,0.31310751851488566,True,1,1.0,NO_SPECIFICITY_AND_BASELINE_WEAK,both family specificity and Tau evidence baseline comparison are weak,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC12506,holdout,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,4.992292308680085,True,True,-6.170152036880815,-3.595004854597022,0.6494462992876708,5129.941528051544,5918.468213501077,-788.5266854495334,0.7648643849206125,True,1,0.13536249999999994,OTHER_NORMALIZATION_DIAGNOSTIC,mixed normalization behavior,False,False,source_normalization_failure_modes_by_lane_not_endpoint
IC4202,holdout,K_compact_finite,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-0.4275224032548159,False,False,0.8659370572231921,0.8394217278209659,0.4345083145582969,7768.147769511126,8638.115402580408,-869.9676330692822,0.8170046202147336,True,1,0.13536249999999994,PROXY_GATE_OR_COMPONENT_WEIGHT_FAILURE,Tau evidence L2 depends on proxy/partial components in a weak baseline case,False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC7331,holdout,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-1.8420635341856515,False,False,17.431586180322657,13.604976009973967,0.4681867590527362,12667.573390510048,13704.192281098713,-1036.6188905886652,0.8593538878539202,True,1,0.6770125,PROXY_GATE_OR_COMPONENT_WEIGHT_FAILURE,Tau evidence L2 depends on proxy/partial components in a weak baseline case,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC06983,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-8.09754774972022,False,False,1.1231975798796512,3.011065887680015,0.7406357855931932,-274.67641924277336,627.882682292393,-902.5591015351664,0.17947524835333573,True,1,0.7082499999999999,SIGNED_COMPONENT_CANCELLATION_FAILURE,positive and negative source components strongly cancel,False,False,source_normalization_failure_modes_by_lane_not_endpoint
CamB,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-71.52191729301825,False,True,0.304377757250684,-1.681347791882814,0.7709311437999794,16.810424953980917,47.8875853320477,-31.077160378066782,0.21288519076213136,True,1,0.20824999999999996,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
ESO116-G012,holdout,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-10.250982199342676,True,True,-3.171067141247752,-0.7715319621183454,0.647024282010864,715.3596369276393,904.6382268758592,-189.2785899482199,0.6539433583300343,True,1,0.15046062499999996,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
F563-1,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-2.9018100923629326,True,False,-1.8756911735256168,4.374455119686175,0.8061829343587749,360.3712008991114,483.9348186761198,-123.56361777700836,0.5932051496348435,True,1,0.17701249999999996,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
IC2574,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-16.185973267278385,False,True,0.1014007308870672,-5.897953958445953,0.8157231858172092,10.77455980958899,191.8256923949511,-181.0511325853621,0.02889576151630731,True,1,1.0,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC2683,holdout,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-2.9850946469943267,False,True,3.6014007745747527,-0.2347843001229943,0.6102469907921014,1717.558431580421,4117.398961764323,-2399.840530183902,0.2635407880441393,True,1,1.0,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC3972,holdout,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-11.38381375304365,True,True,-1.5695321939454423,-0.537851967977991,0.5887466864328924,549.2788225265293,1541.2506142592406,-991.9717917327112,0.2168300822017419,True,1,1.0,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC4183,holdout,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-7.535629576581786,False,True,1.1404554263523885,-2.72484467694023,0.765563445114896,289.50125947836,1188.2270314315006,-898.7257719531406,0.1387196006583589,True,1,1.0,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC5907,holdout,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-1.2200402769069,False,True,1.428089605548596,-0.3817652239693387,0.6634000298195578,782.1298732785958,5850.366789591626,-5068.23691631303,0.07163277414818425,True,1,1.0,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
