galaxy,inspection_priority_tier,inspection_priority_score,inspection_focus,requested_external_sources,current_proxy_family,rotation_inferred_family,rotation_inferred_confidence,memory_history_proxy_class,source_memory_proxy_flags,manifest_confidence,manifest_caveat,external_family_label,external_family_mismatch,s4g_match_status,scale_radius_kpc,bar_radius_kpc,s4g_model_components,candidate_observable_status,observable_provenance,inspection_status,accepted_label_output_allowed,endpoint_scores_allowed,claim_boundary
NGC0300,P0,98,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,K_exponential_disk,K_scale_tail_spiral,HIGH,expdisk_current_with_scale_tail_readout_memory_candidate,low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch;rotation_external_family_mismatch,1.0,none,K_exponential_disk,True,S4G_MATCHED,1.534398989732565,,D,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
NGC6503,P0,98,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,K_exponential_disk,K_scale_tail_spiral,HIGH,expdisk_current_with_scale_tail_readout_memory_candidate,low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch;rotation_external_family_mismatch,1.0,none,K_exponential_disk,True,S4G_MATCHED,0.899249968469682,,D;N,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
NGC0100,P0,88,edge_on_projection_degeneracy;outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,K_exponential_disk,K_scale_tail_spiral,MEDIUM,expdisk_current_with_scale_tail_readout_memory_candidate,distance_caveat;edge_or_projection_caveat;rotation_current_proxy_mismatch;rotation_external_family_mismatch,0.85,large_distance_error,K_exponential_disk,True,S4G_MATCHED,1.2193294483812045,,Z,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
NGC0247,P0,88,bar_m2_component;outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry;bar_length_and_m2_component;velocity_field_if_available,K_exponential_disk,K_scale_tail_spiral,MEDIUM,expdisk_current_with_scale_tail_readout_memory_candidate,bar_component_caveat;rotation_current_proxy_mismatch;rotation_external_family_mismatch,1.0,none,K_exponential_disk,True,S4G_MATCHED,4.0018082876406345,2.6772598356483166,D;BAR,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
IC2574,P1,83,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,K_scale_tail_spiral,K_exponential_disk,HIGH,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,1.0,none,,False,S4G_MATCHED,3.875404986526549,,D,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
NGC3917,P1,83,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,K_exponential_disk,K_scale_tail_spiral,MEDIUM,expdisk_current_with_scale_tail_readout_memory_candidate,rotation_current_proxy_mismatch;rotation_external_family_mismatch,1.0,none,K_exponential_disk,True,S4G_MATCHED,3.360628171466791,,B;D,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
NGC4183,P1,83,edge_on_projection_degeneracy;thickness_flare_warp_or_projection,residual_blind_multiband_image_morphology_label;edge_on_projection_audit;vertical_profile_or_warp_observable,K_exponential_disk,K_thick_flared,LOW,expdisk_current_with_vertical_projection_memory_candidate,edge_or_projection_caveat;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch;rotation_external_family_mismatch,1.0,none,K_exponential_disk,True,S4G_MATCHED,2.5281069868391675,,Z,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
NGC6015,P1,83,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,K_exponential_disk,K_scale_tail_spiral,MEDIUM,expdisk_current_with_scale_tail_readout_memory_candidate,distance_caveat;rotation_current_proxy_mismatch;rotation_external_family_mismatch,0.85,large_distance_error,K_exponential_disk,True,S4G_MATCHED,2.7626597230842966,,D;N,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
UGC04483,P1,83,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,K_scale_tail_spiral,K_exponential_disk,HIGH,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,1.0,none,,False,S4G_MATCHED,0.2391670982906972,,D,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
NGC3972,P1,78,outer_disk_tail_lsb_or_hi_extent;thickness_flare_warp_or_projection,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry;edge_on_projection_audit;vertical_profile_or_warp_observable,K_thick_flared,K_scale_tail_spiral,HIGH,thick_flared_proxy_with_alternate_readout_memory_candidate,rotation_current_proxy_mismatch;vertical_geometry_proxy_only,0.9,vertical_geometry_proxy_only,,False,S4G_MATCHED,2.449567277564473,,B;D,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
UGC06930,P1,78,bar_m2_component;thickness_flare_warp_or_projection,residual_blind_multiband_image_morphology_label;edge_on_projection_audit;vertical_profile_or_warp_observable;bar_length_and_m2_component;velocity_field_if_available,K_exponential_disk,K_thick_flared,LOW,expdisk_current_with_vertical_projection_memory_candidate,bar_component_caveat;inclination_caveat;rotation_current_proxy_mismatch;rotation_external_family_mismatch,0.8,low_inclination,K_exponential_disk,True,S4G_MATCHED,2.6808231529361786,1.823867321811965,D;BAR,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
DDO170,P1,75,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry;non_s4g_external_morphology_source,K_scale_tail_spiral,K_exponential_disk,HIGH,scale_tail_current_with_expdisk_readout_memory_candidate,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,0.85,large_distance_error,,False,NO_S4G_MATCH,,,,MISSING,SPARC_Lelli2016c.mrt,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
UGC05005,P1,75,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry;non_s4g_external_morphology_source,K_scale_tail_spiral,K_exponential_disk,HIGH,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,1.0,none,,False,NO_S4G_MATCH,,,,MISSING,SPARC_Lelli2016c.mrt,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
