panel_x,panel_y,source_x,source_y,palette_class,velocity_bin_center_km_s,velocity_quantization_half_width_km_s,systemic_relation,endpoint_access
96,47,633,589,light_blue,1175.0,25.0,systemic_ambiguous,False
97,47,634,589,light_blue,1175.0,25.0,systemic_ambiguous,False
98,47,635,589,light_blue,1175.0,25.0,systemic_ambiguous,False
99,47,636,589,light_blue,1175.0,25.0,systemic_ambiguous,False
112,47,649,589,blue,1125.0,25.0,approaching,False
113,47,650,589,blue,1125.0,25.0,approaching,False
115,47,652,589,purple,1075.0,25.0,approaching,False
116,47,653,589,purple,1075.0,25.0,approaching,False
117,47,654,589,purple,1075.0,25.0,approaching,False
118,47,655,589,purple,1075.0,25.0,approaching,False
96,48,633,590,light_blue,1175.0,25.0,systemic_ambiguous,False
97,48,634,590,light_blue,1175.0,25.0,systemic_ambiguous,False
98,48,635,590,light_blue,1175.0,25.0,systemic_ambiguous,False
99,48,636,590,light_blue,1175.0,25.0,systemic_ambiguous,False
112,48,649,590,blue,1125.0,25.0,approaching,False
113,48,650,590,blue,1125.0,25.0,approaching,False
115,48,652,590,purple,1075.0,25.0,approaching,False
116,48,653,590,purple,1075.0,25.0,approaching,False
117,48,654,590,purple,1075.0,25.0,approaching,False
118,48,655,590,purple,1075.0,25.0,approaching,False
91,49,628,591,dark_green,1225.0,25.0,receding,False
92,49,629,591,dark_green,1225.0,25.0,receding,False
93,49,630,591,light_blue,1175.0,25.0,systemic_ambiguous,False
94,49,631,591,light_blue,1175.0,25.0,systemic_ambiguous,False
95,49,632,591,light_blue,1175.0,25.0,systemic_ambiguous,False
96,49,633,591,light_blue,1175.0,25.0,systemic_ambiguous,False
97,49,634,591,light_blue,1175.0,25.0,systemic_ambiguous,False
98,49,635,591,light_blue,1175.0,25.0,systemic_ambiguous,False
99,49,636,591,light_blue,1175.0,25.0,systemic_ambiguous,False
100,49,637,591,light_blue,1175.0,25.0,systemic_ambiguous,False
101,49,638,591,light_blue,1175.0,25.0,systemic_ambiguous,False
102,49,639,591,light_blue,1175.0,25.0,systemic_ambiguous,False
103,49,640,591,light_blue,1175.0,25.0,systemic_ambiguous,False
112,49,649,591,blue,1125.0,25.0,approaching,False
113,49,650,591,blue,1125.0,25.0,approaching,False
115,49,652,591,purple,1075.0,25.0,approaching,False
116,49,653,591,purple,1075.0,25.0,approaching,False
117,49,654,591,purple,1075.0,25.0,approaching,False
118,49,655,591,purple,1075.0,25.0,approaching,False
119,49,656,591,purple,1075.0,25.0,approaching,False
120,49,657,591,purple,1075.0,25.0,approaching,False
91,50,628,592,dark_green,1225.0,25.0,receding,False
92,50,629,592,dark_green,1225.0,25.0,receding,False
93,50,630,592,light_blue,1175.0,25.0,systemic_ambiguous,False
94,50,631,592,light_blue,1175.0,25.0,systemic_ambiguous,False
95,50,632,592,light_blue,1175.0,25.0,systemic_ambiguous,False
96,50,633,592,light_blue,1175.0,25.0,systemic_ambiguous,False
97,50,634,592,light_blue,1175.0,25.0,systemic_ambiguous,False
98,50,635,592,light_blue,1175.0,25.0,systemic_ambiguous,False
99,50,636,592,light_blue,1175.0,25.0,systemic_ambiguous,False
100,50,637,592,light_blue,1175.0,25.0,systemic_ambiguous,False
101,50,638,592,light_blue,1175.0,25.0,systemic_ambiguous,False
102,50,639,592,light_blue,1175.0,25.0,systemic_ambiguous,False
103,50,640,592,light_blue,1175.0,25.0,systemic_ambiguous,False
112,50,649,592,blue,1125.0,25.0,approaching,False
113,50,650,592,blue,1125.0,25.0,approaching,False
117,50,654,592,purple,1075.0,25.0,approaching,False
118,50,655,592,purple,1075.0,25.0,approaching,False
89,51,626,593,dark_green,1225.0,25.0,receding,False
90,51,627,593,dark_green,1225.0,25.0,receding,False
91,51,628,593,dark_green,1225.0,25.0,receding,False
92,51,629,593,dark_green,1225.0,25.0,receding,False
93,51,630,593,light_blue,1175.0,25.0,systemic_ambiguous,False
94,51,631,593,light_blue,1175.0,25.0,systemic_ambiguous,False
95,51,632,593,light_blue,1175.0,25.0,systemic_ambiguous,False
96,51,633,593,light_blue,1175.0,25.0,systemic_ambiguous,False
97,51,634,593,light_blue,1175.0,25.0,systemic_ambiguous,False
98,51,635,593,light_blue,1175.0,25.0,systemic_ambiguous,False
99,51,636,593,light_blue,1175.0,25.0,systemic_ambiguous,False
100,51,637,593,light_blue,1175.0,25.0,systemic_ambiguous,False
101,51,638,593,light_blue,1175.0,25.0,systemic_ambiguous,False
102,51,639,593,light_blue,1175.0,25.0,systemic_ambiguous,False
103,51,640,593,light_blue,1175.0,25.0,systemic_ambiguous,False
110,51,647,593,blue,1125.0,25.0,approaching,False
111,51,648,593,blue,1125.0,25.0,approaching,False
112,51,649,593,blue,1125.0,25.0,approaching,False
113,51,650,593,blue,1125.0,25.0,approaching,False
114,51,651,593,blue,1125.0,25.0,approaching,False
115,51,652,593,blue,1125.0,25.0,approaching,False
117,51,654,593,purple,1075.0,25.0,approaching,False
118,51,655,593,purple,1075.0,25.0,approaching,False
89,52,626,594,dark_green,1225.0,25.0,receding,False
90,52,627,594,dark_green,1225.0,25.0,receding,False
91,52,628,594,dark_green,1225.0,25.0,receding,False
92,52,629,594,dark_green,1225.0,25.0,receding,False
93,52,630,594,light_blue,1175.0,25.0,systemic_ambiguous,False
94,52,631,594,light_blue,1175.0,25.0,systemic_ambiguous,False
95,52,632,594,light_blue,1175.0,25.0,systemic_ambiguous,False
96,52,633,594,light_blue,1175.0,25.0,systemic_ambiguous,False
97,52,634,594,light_blue,1175.0,25.0,systemic_ambiguous,False
98,52,635,594,light_blue,1175.0,25.0,systemic_ambiguous,False
99,52,636,594,light_blue,1175.0,25.0,systemic_ambiguous,False
100,52,637,594,light_blue,1175.0,25.0,systemic_ambiguous,False
101,52,638,594,light_blue,1175.0,25.0,systemic_ambiguous,False
102,52,639,594,light_blue,1175.0,25.0,systemic_ambiguous,False
103,52,640,594,light_blue,1175.0,25.0,systemic_ambiguous,False
110,52,647,594,blue,1125.0,25.0,approaching,False
111,52,648,594,blue,1125.0,25.0,approaching,False
112,52,649,594,blue,1125.0,25.0,approaching,False
113,52,650,594,blue,1125.0,25.0,approaching,False
114,52,651,594,blue,1125.0,25.0,approaching,False
115,52,652,594,blue,1125.0,25.0,approaching,False
117,52,654,594,purple,1075.0,25.0,approaching,False
118,52,655,594,purple,1075.0,25.0,approaching,False
89,53,626,595,dark_green,1225.0,25.0,receding,False
93,53,630,595,light_blue,1175.0,25.0,systemic_ambiguous,False
94,53,631,595,light_blue,1175.0,25.0,systemic_ambiguous,False
95,53,632,595,light_blue,1175.0,25.0,systemic_ambiguous,False
96,53,633,595,light_blue,1175.0,25.0,systemic_ambiguous,False
110,53,647,595,blue,1125.0,25.0,approaching,False
111,53,648,595,blue,1125.0,25.0,approaching,False
112,53,649,595,blue,1125.0,25.0,approaching,False
113,53,650,595,blue,1125.0,25.0,approaching,False
114,53,651,595,blue,1125.0,25.0,approaching,False
115,53,652,595,blue,1125.0,25.0,approaching,False
116,53,653,595,blue,1125.0,25.0,approaching,False
86,54,623,596,dark_green,1225.0,25.0,receding,False
87,54,624,596,dark_green,1225.0,25.0,receding,False
88,54,625,596,dark_green,1225.0,25.0,receding,False
89,54,626,596,dark_green,1225.0,25.0,receding,False
91,54,628,596,light_blue,1175.0,25.0,systemic_ambiguous,False
92,54,629,596,light_blue,1175.0,25.0,systemic_ambiguous,False
93,54,630,596,light_blue,1175.0,25.0,systemic_ambiguous,False
94,54,631,596,light_blue,1175.0,25.0,systemic_ambiguous,False
95,54,632,596,light_blue,1175.0,25.0,systemic_ambiguous,False
96,54,633,596,light_blue,1175.0,25.0,systemic_ambiguous,False
98,54,635,596,blue,1125.0,25.0,approaching,False
99,54,636,596,blue,1125.0,25.0,approaching,False
100,54,637,596,blue,1125.0,25.0,approaching,False
101,54,638,596,blue,1125.0,25.0,approaching,False
102,54,639,596,blue,1125.0,25.0,approaching,False
103,54,640,596,blue,1125.0,25.0,approaching,False
104,54,641,596,blue,1125.0,25.0,approaching,False
105,54,642,596,blue,1125.0,25.0,approaching,False
106,54,643,596,blue,1125.0,25.0,approaching,False
107,54,644,596,blue,1125.0,25.0,approaching,False
108,54,645,596,blue,1125.0,25.0,approaching,False
109,54,646,596,blue,1125.0,25.0,approaching,False
110,54,647,596,blue,1125.0,25.0,approaching,False
111,54,648,596,blue,1125.0,25.0,approaching,False
112,54,649,596,blue,1125.0,25.0,approaching,False
113,54,650,596,blue,1125.0,25.0,approaching,False
114,54,651,596,blue,1125.0,25.0,approaching,False
115,54,652,596,blue,1125.0,25.0,approaching,False
116,54,653,596,blue,1125.0,25.0,approaching,False
117,54,654,596,blue,1125.0,25.0,approaching,False
118,54,655,596,blue,1125.0,25.0,approaching,False
86,55,623,597,dark_green,1225.0,25.0,receding,False
87,55,624,597,dark_green,1225.0,25.0,receding,False
