galaxy,candidate_readout,analogue_class,source_side_strength,formula_freeze_allowed_now,main_blockers,next_required_gate,endpoint_scores_allowed,claim_boundary
NGC4088,K_expdisk_warp_history_coupled_mixed_review,closest_warp_history_not_same_protocol,BREAKTHROUGH_PROTOCOL_BOUND_READY_NOT_ENDPOINT,False,INDEPENDENT_DIGITIZATION_REVIEW;PHYSICAL_NORMALIZATION_LAW;POPULATION_GENERALIZATION;BLOCKED_MULTIPLE_RESIDUAL_BLIND_SCALES,"resolve independent digitization review, physical normalization law, and scale-uniqueness before any mixed formula freeze",False,ngc4013_retrospective_caveat_closure_gate_not_endpoint
NGC4183,K_expdisk_edge_on_projection_weak_null_control_review,source_acquisition_candidate,NGC4183_WEAK_PROJECTION_CONTROL_PREFLIGHT_COMPLETE_NOT_ENDPOINT,False,none,complete independent tilted-ring review response before formula freeze,False,ngc4013_retrospective_caveat_closure_gate_not_endpoint
IC2574,K_expdisk_disturbed_outer_tail_overlay_review,source_acquisition_candidate,DISTURBED_CONTEXT_ACCEPTED_NUMERIC_KERNEL_BLOCKED,False,outer_tail_transition_radius_missing,extract tail/envelope transition radius or HI radial support kernel,False,ngc4013_retrospective_caveat_closure_gate_not_endpoint
UGC05716,K_expdisk_tail_asymmetry_projection_overlay_review,source_acquisition_candidate,HI_ROTATION_CONTEXT_ACCEPTED_NUMERIC_KERNEL_BLOCKED,False,HI_asymmetry_or_tail_measurement_missing,extract HI asymmetry/tail observable from source map or profile,False,ngc4013_retrospective_caveat_closure_gate_not_endpoint
NGC0024,K_expdisk_thick_flared_overlay_review,source_acquisition_candidate,S4G75_DIRECT_SOURCE_NATIVE_ACQUISITION_ROW,False,external_family_label_audit_pending;thickness_h_over_rs,source_acquisition_and_extraction_before_formula_freeze,False,ngc4013_retrospective_caveat_closure_gate_not_endpoint
NGC2683,K_expdisk_thick_flared_overlay_review,source_acquisition_candidate,S4G75_DIRECT_SOURCE_NATIVE_ACQUISITION_ROW,False,external_family_label_audit_pending;thickness_h_over_rs,source_acquisition_and_extraction_before_formula_freeze,False,ngc4013_retrospective_caveat_closure_gate_not_endpoint
NGC3726,K_expdisk_thick_flared_overlay_review,source_acquisition_candidate,S4G75_DIRECT_SOURCE_NATIVE_ACQUISITION_ROW,False,external_family_label_audit_pending;thickness_h_over_rs,source_acquisition_and_extraction_before_formula_freeze,False,ngc4013_retrospective_caveat_closure_gate_not_endpoint
NGC3949,K_expdisk_thick_flared_overlay_review,source_acquisition_candidate,S4G75_DIRECT_SOURCE_NATIVE_ACQUISITION_ROW,False,external_family_label_audit_pending;thickness_h_over_rs,source_acquisition_and_extraction_before_formula_freeze,False,ngc4013_retrospective_caveat_closure_gate_not_endpoint
NGC4214,K_expdisk_tail_or_outer_disk_overlay_review,source_acquisition_candidate,S4G75_DIRECT_SOURCE_NATIVE_ACQUISITION_ROW,False,external_family_label_audit_pending;tail_inner_radius_kpc;tail_cutoff_radius_kpc,source_acquisition_and_extraction_before_formula_freeze,False,ngc4013_retrospective_caveat_closure_gate_not_endpoint
UGC06917,K_expdisk_tail_or_outer_disk_overlay_review,source_acquisition_candidate,S4G75_DIRECT_SOURCE_NATIVE_ACQUISITION_ROW,False,external_family_label_audit_pending;tail_inner_radius_kpc;tail_cutoff_radius_kpc,source_acquisition_and_extraction_before_formula_freeze,False,ngc4013_retrospective_caveat_closure_gate_not_endpoint
