split,inclusion_lane,transition,n_galaxies,median_delta_rmse_curr_minus_prev,improved_fraction,claim_boundary
holdout,STRICT_PLUS_CAUTION,L0_to_L1,16,0.8351032712305728,0.375,inclusion_lane_endpoint_analysis_not_validation
holdout,STRICT_PLUS_CAUTION,L1_to_L2,16,0.5674446641281055,0.4375,inclusion_lane_endpoint_analysis_not_validation
holdout,STRICT_PLUS_CAUTION,L2_to_L3,16,-0.4609320117785458,0.625,inclusion_lane_endpoint_analysis_not_validation
holdout,ACQUISITION_REQUIRED,L0_to_L1,28,0.4547058017613925,0.4642857142857143,inclusion_lane_endpoint_analysis_not_validation
holdout,ACQUISITION_REQUIRED,L1_to_L2,28,0.2598836772566582,0.4642857142857143,inclusion_lane_endpoint_analysis_not_validation
holdout,ACQUISITION_REQUIRED,L2_to_L3,28,-0.6365372662968483,0.6428571428571429,inclusion_lane_endpoint_analysis_not_validation
holdout,ALL_ROWS,L0_to_L1,44,0.57508113977434,0.4318181818181818,inclusion_lane_endpoint_analysis_not_validation
holdout,ALL_ROWS,L1_to_L2,44,0.4450567611161347,0.45454545454545453,inclusion_lane_endpoint_analysis_not_validation
holdout,ALL_ROWS,L2_to_L3,44,-0.6028640939048806,0.6363636363636364,inclusion_lane_endpoint_analysis_not_validation
train,STRICT_PLUS_CAUTION,L0_to_L1,51,0.37867046749272504,0.35294117647058826,inclusion_lane_endpoint_analysis_not_validation
train,STRICT_PLUS_CAUTION,L1_to_L2,51,0.43616496235807745,0.43137254901960786,inclusion_lane_endpoint_analysis_not_validation
train,STRICT_PLUS_CAUTION,L2_to_L3,51,-0.16010259203974897,0.6078431372549019,inclusion_lane_endpoint_analysis_not_validation
train,ACQUISITION_REQUIRED,L0_to_L1,80,0.17507838048101654,0.4375,inclusion_lane_endpoint_analysis_not_validation
train,ACQUISITION_REQUIRED,L1_to_L2,80,0.2805984414092326,0.4375,inclusion_lane_endpoint_analysis_not_validation
train,ACQUISITION_REQUIRED,L2_to_L3,80,-0.3453143879417331,0.575,inclusion_lane_endpoint_analysis_not_validation
train,ALL_ROWS,L0_to_L1,131,0.22164136121102818,0.40458015267175573,inclusion_lane_endpoint_analysis_not_validation
train,ALL_ROWS,L1_to_L2,131,0.3433166055039756,0.4351145038167939,inclusion_lane_endpoint_analysis_not_validation
train,ALL_ROWS,L2_to_L3,131,-0.24304239999221977,0.5877862595419847,inclusion_lane_endpoint_analysis_not_validation
