galaxy,x_R_over_RHI,filled_x_warp_onset,x_warp_uncertainty,turn_on_power_control,q_warp,filled_basis_value,profile_status,accepted_for_mapping_rule,endpoint_scores_allowed,endpoint_scores_computed,claim_boundary
NGC4088,0.0,0.2823529411764706,0.0705882352941176,1.0,1.0,0.0,FILLED_SOURCE_BASIS_NOT_ENDPOINT,True,False,False,s4g75_ngc4088_filled_warp_closure_mapping_not_endpoint
NGC4088,0.1,0.2823529411764706,0.0705882352941176,1.0,1.0,0.0,FILLED_SOURCE_BASIS_NOT_ENDPOINT,True,False,False,s4g75_ngc4088_filled_warp_closure_mapping_not_endpoint
NGC4088,0.2,0.2823529411764706,0.0705882352941176,1.0,1.0,0.0,FILLED_SOURCE_BASIS_NOT_ENDPOINT,True,False,False,s4g75_ngc4088_filled_warp_closure_mapping_not_endpoint
NGC4088,0.2823529411764706,0.2823529411764706,0.0705882352941176,1.0,1.0,0.0,FILLED_SOURCE_BASIS_NOT_ENDPOINT,True,False,False,s4g75_ngc4088_filled_warp_closure_mapping_not_endpoint
NGC4088,0.4,0.2823529411764706,0.0705882352941176,1.0,1.0,0.16393442622950824,FILLED_SOURCE_BASIS_NOT_ENDPOINT,True,False,False,s4g75_ngc4088_filled_warp_closure_mapping_not_endpoint
NGC4088,0.6,0.2823529411764706,0.0705882352941176,1.0,1.0,0.4426229508196721,FILLED_SOURCE_BASIS_NOT_ENDPOINT,True,False,False,s4g75_ngc4088_filled_warp_closure_mapping_not_endpoint
NGC4088,0.8,0.2823529411764706,0.0705882352941176,1.0,1.0,0.7213114754098361,FILLED_SOURCE_BASIS_NOT_ENDPOINT,True,False,False,s4g75_ngc4088_filled_warp_closure_mapping_not_endpoint
NGC4088,1.0,0.2823529411764706,0.0705882352941176,1.0,1.0,1.0,FILLED_SOURCE_BASIS_NOT_ENDPOINT,True,False,False,s4g75_ngc4088_filled_warp_closure_mapping_not_endpoint
NGC4088,0.0,0.2823529411764706,0.0705882352941176,2.0,1.0,0.0,FILLED_SOURCE_BASIS_NOT_ENDPOINT,True,False,False,s4g75_ngc4088_filled_warp_closure_mapping_not_endpoint
NGC4088,0.1,0.2823529411764706,0.0705882352941176,2.0,1.0,0.0,FILLED_SOURCE_BASIS_NOT_ENDPOINT,True,False,False,s4g75_ngc4088_filled_warp_closure_mapping_not_endpoint
NGC4088,0.2,0.2823529411764706,0.0705882352941176,2.0,1.0,0.0,FILLED_SOURCE_BASIS_NOT_ENDPOINT,True,False,False,s4g75_ngc4088_filled_warp_closure_mapping_not_endpoint
NGC4088,0.2823529411764706,0.2823529411764706,0.0705882352941176,2.0,1.0,0.0,FILLED_SOURCE_BASIS_NOT_ENDPOINT,True,False,False,s4g75_ngc4088_filled_warp_closure_mapping_not_endpoint
NGC4088,0.4,0.2823529411764706,0.0705882352941176,2.0,1.0,0.02687449610319808,FILLED_SOURCE_BASIS_NOT_ENDPOINT,True,False,False,s4g75_ngc4088_filled_warp_closure_mapping_not_endpoint
NGC4088,0.6,0.2823529411764706,0.0705882352941176,2.0,1.0,0.19591507659231389,FILLED_SOURCE_BASIS_NOT_ENDPOINT,True,False,False,s4g75_ngc4088_filled_warp_closure_mapping_not_endpoint
NGC4088,0.8,0.2823529411764706,0.0705882352941176,2.0,1.0,0.5202902445579146,FILLED_SOURCE_BASIS_NOT_ENDPOINT,True,False,False,s4g75_ngc4088_filled_warp_closure_mapping_not_endpoint
NGC4088,1.0,0.2823529411764706,0.0705882352941176,2.0,1.0,1.0,FILLED_SOURCE_BASIS_NOT_ENDPOINT,True,False,False,s4g75_ngc4088_filled_warp_closure_mapping_not_endpoint
