response_file,field,current_value,required_for_freeze,accepted_values_or_rule,claim_boundary
/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/derived/ngc4183_tilted_ring_independent_review_response_template.csv,reviewer,codex_internal_source_review_not_independent,False,accept/reject/correct or reviewer note,ngc4183_tilted_ring_review_handoff_not_endpoint
/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/derived/ngc4183_tilted_ring_independent_review_response_template.csv,date,2026-06-05,False,accept/reject/correct or reviewer note,ngc4183_tilted_ring_review_handoff_not_endpoint
/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/derived/ngc4183_tilted_ring_independent_review_response_template.csv,source_identity_decision,ACCEPT,True,accept/reject/correct or reviewer note,ngc4183_tilted_ring_review_handoff_not_endpoint
/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/derived/ngc4183_tilted_ring_independent_review_response_template.csv,radius_series_decision,ACCEPT,True,accept/reject/correct or reviewer note,ngc4183_tilted_ring_review_handoff_not_endpoint
/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/derived/ngc4183_tilted_ring_independent_review_response_template.csv,orientation_series_decision,ACCEPT,True,accept/reject/correct or reviewer note,ngc4183_tilted_ring_review_handoff_not_endpoint
/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/derived/ngc4183_tilted_ring_independent_review_response_template.csv,velocity_columns_decision,ACCEPT,True,accept/reject/correct or reviewer note,ngc4183_tilted_ring_review_handoff_not_endpoint
/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/derived/ngc4183_tilted_ring_independent_review_response_template.csv,upper_bound_conclusion_decision,ACCEPT,True,accept/reject/correct or reviewer note,ngc4183_tilted_ring_review_handoff_not_endpoint
/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/derived/ngc4183_tilted_ring_independent_review_response_template.csv,corrections,"No correction from local visual review of the rendered Table 4 page/crop. NGC4183 rows match the extracted radius series 10..241 arcsec, constant i=82 deg, and PA=346..349 deg. Outer 229/241 arcsec rows have missing approaching-side velocity entries, as represented in the extracted profile.",False,accept/reject/correct or reviewer note,ngc4183_tilted_ring_review_handoff_not_endpoint
/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/derived/ngc4183_tilted_ring_independent_review_response_template.csv,review_verdict,INTERNAL_CODEX_SOURCE_REVIEW_ACCEPTS_TRANSCRIPTION_NOT_INDEPENDENT_FREEZE_BLOCKED,True,accept/reject/correct or reviewer note,ngc4183_tilted_ring_review_handoff_not_endpoint
/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/derived/ngc4183_tilted_ring_independent_review_response_template.csv,may_freeze_null_control_after_review,False,True,must be True only after all source transcription decisions accept or correct,ngc4183_tilted_ring_review_handoff_not_endpoint
