galaxy,formula_family,observable_driver_type,source_priority,repair_priority,driver_outcome,required_source_families,source_urls_or_catalogs,required_observables,source_task,delta_matched_rmse,delta_vs_tpg,delta_vs_mond,endpoint_blocker,acquisition_status,accepted_label_output_allowed,endpoint_scores_allowed,endpoint_scores_computed,claim_boundary
NGC4214,K_scale_tail_spiral,tail_inner_cutoff_candidate,P0_DIRECT_SOURCE_NATIVE_REQUIRED,P1_INCLINATION_PROJECTION_REVIEW,FILLED_WORSENED_BASELINE_TRANSFER,HI_SURVEYS;DustPedia;S4G;NED_NEDD,THINGS; LITTLE_THINGS; WALLABY; HALOGAS; SPARC HI fields; https://arxiv.org/abs/1708.05335; https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/,outer_disk_break_radius_kpc; HI_radial_profile_or_RHI_kpc; tail_inner_radius_kpc; tail_cutoff_radius_kpc; truncation_radius_kpc,measure or cite direct outer-disk/HI transition support rather than using the predeclared disk-to-HI formula candidate alone,0.3393343823163519,0.3393343823163519,0.3393343823163519,external_family_label_audit_pending;tail_inner_radius_kpc;tail_cutoff_radius_kpc,TO_BE_ACQUIRED_OR_DIRECTLY_MEASURED_RESIDUAL_BLIND,False,False,False,s4g75_direct_source_native_acquisition_manifest_not_endpoint
UGC06917,K_scale_tail_spiral,tail_inner_cutoff_candidate,P0_DIRECT_SOURCE_NATIVE_REQUIRED,P2_SOURCE_NORMALIZATION_REVIEW,FILLED_WORSENED_BASELINE_TRANSFER,HI_SURVEYS;DustPedia;S4G;NED_NEDD,THINGS; LITTLE_THINGS; WALLABY; HALOGAS; SPARC HI fields; https://arxiv.org/abs/1708.05335; https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/,outer_disk_break_radius_kpc; HI_radial_profile_or_RHI_kpc; tail_inner_radius_kpc; tail_cutoff_radius_kpc; truncation_radius_kpc,measure or cite direct outer-disk/HI transition support rather than using the predeclared disk-to-HI formula candidate alone,0.8858034273870414,0.8858034273870414,0.8858034273870414,external_family_label_audit_pending;tail_inner_radius_kpc;tail_cutoff_radius_kpc,TO_BE_ACQUIRED_OR_DIRECTLY_MEASURED_RESIDUAL_BLIND,False,False,False,s4g75_direct_source_native_acquisition_manifest_not_endpoint
UGC06983,K_scale_tail_spiral,tail_inner_cutoff_candidate,P0_DIRECT_SOURCE_NATIVE_REQUIRED,P2_SOURCE_NORMALIZATION_REVIEW,FILLED_WORSENED_BASELINE_TRANSFER,HI_SURVEYS;DustPedia;S4G;NED_NEDD,THINGS; LITTLE_THINGS; WALLABY; HALOGAS; SPARC HI fields; https://arxiv.org/abs/1708.05335; https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://ned.ipac.caltech.edu/,outer_disk_break_radius_kpc; HI_radial_profile_or_RHI_kpc; tail_inner_radius_kpc; tail_cutoff_radius_kpc; truncation_radius_kpc,measure or cite direct outer-disk/HI transition support rather than using the predeclared disk-to-HI formula candidate alone,0.6778723702062717,0.6778723702062717,0.6778723702062717,external_family_label_audit_pending;tail_inner_radius_kpc;tail_cutoff_radius_kpc,TO_BE_ACQUIRED_OR_DIRECTLY_MEASURED_RESIDUAL_BLIND,False,False,False,s4g75_direct_source_native_acquisition_manifest_not_endpoint
NGC0024,K_thick_flared,thickness_h_over_rs_candidate,P0_DIRECT_SOURCE_NATIVE_REQUIRED,P1_VERTICAL_GEOMETRY_SOURCE,FILLED_WORSENED_BASELINE_TRANSFER,S4G;DustPedia;HI_SURVEYS;PHANGS;NED_NEDD,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; SPARC HI fields; https://www.phangs.org/home/data; https://ned.ipac.caltech.edu/,vertical_scale_height_kpc; h_over_Rs; flare_or_warp_radius_kpc; edge_on_thickness_evidence; gas_plane_thickness_or_warp,"measure or cite direct vertical geometry, flare, warp, or edge-on thickness evidence instead of inclination+HI proxy only",0.0963947703744878,0.0963947703744878,0.0963947703744878,external_family_label_audit_pending;thickness_h_over_rs,TO_BE_ACQUIRED_OR_DIRECTLY_MEASURED_RESIDUAL_BLIND,False,False,False,s4g75_direct_source_native_acquisition_manifest_not_endpoint
NGC2683,K_thick_flared,thickness_h_over_rs_candidate,P0_DIRECT_SOURCE_NATIVE_REQUIRED,P1_VERTICAL_GEOMETRY_SOURCE,FILLED_WORSENED_BASELINE_TRANSFER,S4G;DustPedia;HI_SURVEYS;PHANGS;NED_NEDD,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; SPARC HI fields; https://www.phangs.org/home/data; https://ned.ipac.caltech.edu/,vertical_scale_height_kpc; h_over_Rs; flare_or_warp_radius_kpc; edge_on_thickness_evidence; gas_plane_thickness_or_warp,"measure or cite direct vertical geometry, flare, warp, or edge-on thickness evidence instead of inclination+HI proxy only",0.8902038910335559,0.8902038910335577,0.8902038910335559,external_family_label_audit_pending;thickness_h_over_rs,TO_BE_ACQUIRED_OR_DIRECTLY_MEASURED_RESIDUAL_BLIND,False,False,False,s4g75_direct_source_native_acquisition_manifest_not_endpoint
NGC3726,K_thick_flared,thickness_h_over_rs_candidate,P0_DIRECT_SOURCE_NATIVE_REQUIRED,P1_VERTICAL_GEOMETRY_SOURCE,FILLED_WORSENED_BASELINE_TRANSFER,S4G;DustPedia;HI_SURVEYS;PHANGS;NED_NEDD,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; SPARC HI fields; https://www.phangs.org/home/data; https://ned.ipac.caltech.edu/,vertical_scale_height_kpc; h_over_Rs; flare_or_warp_radius_kpc; edge_on_thickness_evidence; gas_plane_thickness_or_warp,"measure or cite direct vertical geometry, flare, warp, or edge-on thickness evidence instead of inclination+HI proxy only",0.4697460215147373,0.4697460215147373,0.4697460215147373,external_family_label_audit_pending;thickness_h_over_rs,TO_BE_ACQUIRED_OR_DIRECTLY_MEASURED_RESIDUAL_BLIND,False,False,False,s4g75_direct_source_native_acquisition_manifest_not_endpoint
NGC3949,K_thick_flared,thickness_h_over_rs_candidate,P0_DIRECT_SOURCE_NATIVE_REQUIRED,P1_VERTICAL_GEOMETRY_SOURCE,FILLED_WORSENED_BASELINE_TRANSFER,S4G;DustPedia;HI_SURVEYS;PHANGS;NED_NEDD,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; SPARC HI fields; https://www.phangs.org/home/data; https://ned.ipac.caltech.edu/,vertical_scale_height_kpc; h_over_Rs; flare_or_warp_radius_kpc; edge_on_thickness_evidence; gas_plane_thickness_or_warp,"measure or cite direct vertical geometry, flare, warp, or edge-on thickness evidence instead of inclination+HI proxy only",0.1250252834348977,0.1250252834348977,0.1250252834348977,external_family_label_audit_pending;thickness_h_over_rs,TO_BE_ACQUIRED_OR_DIRECTLY_MEASURED_RESIDUAL_BLIND,False,False,False,s4g75_direct_source_native_acquisition_manifest_not_endpoint
NGC4088,K_thick_flared,thickness_h_over_rs_candidate,P0_DIRECT_SOURCE_NATIVE_REQUIRED,P1_VERTICAL_GEOMETRY_SOURCE,FILLED_WORSENED_BASELINE_TRANSFER,S4G;DustPedia;HI_SURVEYS;PHANGS;NED_NEDD,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; SPARC HI fields; https://www.phangs.org/home/data; https://ned.ipac.caltech.edu/,vertical_scale_height_kpc; h_over_Rs; flare_or_warp_radius_kpc; edge_on_thickness_evidence; gas_plane_thickness_or_warp,"measure or cite direct vertical geometry, flare, warp, or edge-on thickness evidence instead of inclination+HI proxy only",0.6439902286072297,0.6439902286072297,0.6439902286072297,external_family_label_audit_pending;thickness_h_over_rs,TO_BE_ACQUIRED_OR_DIRECTLY_MEASURED_RESIDUAL_BLIND,False,False,False,s4g75_direct_source_native_acquisition_manifest_not_endpoint
NGC5907,K_thick_flared,thickness_h_over_rs_candidate,P0_DIRECT_SOURCE_NATIVE_REQUIRED,P1_VERTICAL_GEOMETRY_SOURCE,FILLED_WORSENED_BASELINE_TRANSFER,S4G;DustPedia;HI_SURVEYS;PHANGS;NED_NEDD,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; THINGS; LITTLE_THINGS; WALLABY; HALOGAS; SPARC HI fields; https://www.phangs.org/home/data; https://ned.ipac.caltech.edu/,vertical_scale_height_kpc; h_over_Rs; flare_or_warp_radius_kpc; edge_on_thickness_evidence; gas_plane_thickness_or_warp,"measure or cite direct vertical geometry, flare, warp, or edge-on thickness evidence instead of inclination+HI proxy only",0.6299467111593735,0.6299467111593735,0.6299467111593735,external_family_label_audit_pending;thickness_h_over_rs,TO_BE_ACQUIRED_OR_DIRECTLY_MEASURED_RESIDUAL_BLIND,False,False,False,s4g75_direct_source_native_acquisition_manifest_not_endpoint
NGC5985,K_compact_finite,compact_support_candidate,P1_PROMOTE_OR_CONFIRM_SOURCE_NATIVE,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,FILLED_IMPROVED_MATCHED_AND_BASELINES,S4G;DustPedia;NED_NEDD,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html; https://arxiv.org/abs/1708.05335; https://ned.ipac.caltech.edu/,bulge_or_compact_component_radius_kpc; compact_light_support_kpc; central_component_decomposition_flag,measure or cite a compact component support radius instead of using SPARC Reff as a formula-conditional support proxy,-6.305703142015389,-6.305703142015389,-6.305703142015389,external_family_label_audit_pending;compact_support_radius_kpc,TO_BE_ACQUIRED_OR_DIRECTLY_MEASURED_RESIDUAL_BLIND,False,False,False,s4g75_direct_source_native_acquisition_manifest_not_endpoint
