split,inclusion_lane,allowed_use,failure_mode,n_galaxies,hard_beats_wrong_fraction,tau_beats_tpg_v6_fraction,tau_beats_mond_fraction,median_tau_minus_tpg_v6,median_tau_minus_mond,median_signed_cancellation_ratio,claim_boundary
holdout,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,NO_SPECIFICITY_AND_BASELINE_WEAK,1,0.0,0.0,0.0,2.6628680212967915,0.6025584950348488,0.31310751851488566,source_normalization_failure_modes_by_lane_not_endpoint
holdout,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,OTHER_NORMALIZATION_DIAGNOSTIC,1,0.0,1.0,1.0,-6.170152036880815,-3.595004854597022,0.7648643849206125,source_normalization_failure_modes_by_lane_not_endpoint
holdout,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROXY_GATE_OR_COMPONENT_WEIGHT_FAILURE,2,1.0,0.0,0.0,9.148761618772925,7.2221988688974665,0.8381792540343269,source_normalization_failure_modes_by_lane_not_endpoint
holdout,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,SIGNED_COMPONENT_CANCELLATION_FAILURE,1,1.0,0.0,0.0,1.1231975798796512,3.011065887680015,0.17947524835333573,source_normalization_failure_modes_by_lane_not_endpoint
holdout,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,23,1.0,0.5652173913043478,0.782608695652174,-0.3642612206110662,-0.7715319621183454,0.29735669828648653,source_normalization_failure_modes_by_lane_not_endpoint
holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,SIGNED_COMPONENT_CANCELLATION_FAILURE,1,1.0,0.0,0.0,0.964900215167459,2.7807573593426245,0.12456895089472796,source_normalization_failure_modes_by_lane_not_endpoint
holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,1,1.0,1.0,1.0,-0.6165756049831526,-3.140619761186146,0.375,source_normalization_failure_modes_by_lane_not_endpoint
holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,NO_SPECIFICITY_AND_BASELINE_WEAK,2,0.0,0.0,0.0,14.134042151182557,11.943604113943897,1.0,source_normalization_failure_modes_by_lane_not_endpoint
holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,OTHER_NORMALIZATION_DIAGNOSTIC,1,0.0,1.0,1.0,-4.491460216517307,-0.9650385364998152,1.0,source_normalization_failure_modes_by_lane_not_endpoint
holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,PROJECTION_SCALE_NORMALIZATION_FAILURE,7,1.0,0.0,0.0,5.1751137094961805,2.876488834959307,0.3638456616531844,source_normalization_failure_modes_by_lane_not_endpoint
holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,4,1.0,1.0,0.75,-4.841126045138271,-4.371307976190344,0.2987520202588926,source_normalization_failure_modes_by_lane_not_endpoint
train,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,NO_SPECIFICITY_AND_BASELINE_WEAK,3,0.0,0.0,0.0,5.746387117871237,2.7430147012830943,0.6537456778764045,source_normalization_failure_modes_by_lane_not_endpoint
train,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,OTHER_NORMALIZATION_DIAGNOSTIC,2,0.0,1.0,0.5,-7.170277922821313,-3.901087737072841,0.5501806171100002,source_normalization_failure_modes_by_lane_not_endpoint
train,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROXY_GATE_OR_COMPONENT_WEIGHT_FAILURE,4,1.0,0.0,0.0,5.6363729289293785,5.58637479300228,0.6533744632150902,source_normalization_failure_modes_by_lane_not_endpoint
train,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,SIGNED_COMPONENT_CANCELLATION_FAILURE,10,1.0,0.0,0.0,0.8605394435494826,2.76788688303676,0.26940746531822124,source_normalization_failure_modes_by_lane_not_endpoint
train,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,61,1.0,0.639344262295082,0.7377049180327869,-0.2971901005119886,-1.9746569256457736,0.3327866768893552,source_normalization_failure_modes_by_lane_not_endpoint
train,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,NO_SPECIFICITY_AND_BASELINE_WEAK,5,0.0,0.0,0.0,19.2039094445071,15.3475318208749,1.0,source_normalization_failure_modes_by_lane_not_endpoint
train,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,OTHER_NORMALIZATION_DIAGNOSTIC,5,0.6,0.2,0.4,1.1109507549065505,1.2404585161440584,1.0,source_normalization_failure_modes_by_lane_not_endpoint
